ticker,WHLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-25,33.3333
2010-06-25,175.0
2010-06-30,172.7273
2010-08-11,833.3333
2010-08-12,0.0
2010-08-13,0.0
2010-08-17,7.1429
2010-08-18,-6.6667
2010-08-23,0.0
2010-08-24,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-15,3.5714
2010-09-16,0.0
2010-09-30,0.0
2011-03-08,-3.4483
2011-04-04,-26.7857
2012-07-24,-98.2439
2012-07-26,2677.7778
2013-02-11,-89.8
2013-02-15,547.0588
2013-11-12,-90.0
2013-11-14,-45.4545
2013-12-31,1566.6667
2014-04-17,-16.6667
2014-08-07,-59.6
2014-11-21,-60.396
2014-12-17,-85.0
2014-12-18,16.6667
2014-12-22,42.8571
2014-12-30,100.0
2014-12-31,-50.0
2015-02-11,100.0
2015-02-13,45.0
2015-02-25,-44.8276
2015-03-04,0.0
2015-05-01,56.25
2015-05-26,-36.0
2015-06-05,0.0
2015-08-25,-6.25
2015-10-27,-20.0
2016-03-07,0.0
2016-09-06,66.6667
2016-09-16,-20.0
2016-10-12,0.0
2016-12-09,0.0
2017-01-17,25.0
2017-04-17,-20.0
2017-05-01,25.0
2017-05-19,0.0
2017-05-22,0.0
2017-05-26,-20.0
2017-08-07,-37.5
2017-09-25,100.0
2017-12-08,-50.0
2017-12-11,-20.0
2018-03-14,0.0
2018-08-30,0.0
2018-10-10,0.0
2019-03-05,-25.0
2019-12-30,-83.3333
2020-05-13,0.0
