ticker,FNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-3.0899
2000-01-05,-0.2899
2000-01-06,2.907
2000-01-07,1.6949
2000-01-10,3.8889
2000-01-11,1.0695000000000001
2000-01-12,-1.5873
2000-01-13,-4.8387
2000-01-14,1.6949
2000-01-18,1.9444
2000-01-19,0.8174
2000-01-20,1.0811
2000-01-21,-0.5348
2000-01-24,0.5376
2000-01-25,0.5348
2000-01-26,-10.1064
2000-01-27,4.7337
2000-01-28,-0.565
2000-01-31,0.0
2000-02-01,-0.8523
2000-02-02,-1.4327
2000-02-03,1.7442
2000-02-04,-1.4285999999999999
2000-02-07,1.7391
2000-02-08,0.5698
2000-02-09,0.5666
2000-02-10,3.3803
2000-02-11,-2.4523
2000-02-14,-2.2346
2000-02-15,1.7143000000000002
2000-02-16,-0.2809
2000-02-17,-0.8451
2000-02-18,0.5682
2000-02-22,-3.9548
2000-02-23,0.0
2000-02-24,-1.1764999999999999
2000-02-25,1.1905000000000001
2000-02-28,0.0
2000-02-29,2.3529
2000-03-01,4.5977
2000-03-02,-6.9011
2000-03-03,0.0
2000-03-06,-4.7619
2000-03-07,-3.75
2000-03-08,-0.6494
2000-03-09,3.268
2000-03-10,-2.5316
2000-03-13,-5.1948
2000-03-14,2.7397
2000-03-15,-0.6667
2000-03-16,8.0537
2000-03-17,0.0
2000-03-20,-2.1739
2000-03-21,0.9524
2000-03-22,0.6289
2000-03-23,1.25
2000-03-24,3.0864
2000-03-27,-0.5988
2000-03-28,-2.4096
2000-03-29,0.3086
2000-03-30,-0.3077
2000-03-31,-9.2593
2000-04-03,3.4013999999999998
2000-04-04,1.6447
2000-04-05,0.3236
2000-04-06,1.2903
2000-04-07,0.3185
2000-04-10,-2.2222
2000-04-11,0.0
2000-04-12,0.974
2000-04-13,-2.2508
2000-04-14,-1.6447
2000-04-17,0.3344
2000-04-18,-1.0
2000-04-19,-1.0101
2000-04-20,0.6803
2000-04-24,1.6892
2000-04-25,2.3256
2000-04-26,0.9091
2000-04-27,0.6757
2000-04-28,6.0403
2000-05-01,-2.2152
2000-05-02,-0.4854
2000-05-03,-2.7641999999999998
2000-05-04,0.3344
2000-05-05,4.0
2000-05-08,0.9615
2000-05-09,1.5873
2000-05-10,-3.125
2000-05-11,0.0
2000-05-12,0.6452
2000-05-15,-1.2821
2000-05-16,-1.2987
2000-05-17,1.3158
2000-05-18,-2.5974
2000-05-19,-0.3333
2000-05-22,-1.0033
2000-05-23,2.027
