ticker,DKGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-22,-95.0
2015-11-06,20.0
2016-01-07,0.0
2016-03-28,-50.0
2016-03-29,-50.0
2016-03-30,79.375
2016-03-31,-25.6678
2016-04-19,3.5938
2016-06-08,3.7707
2016-07-06,248.8372
2016-08-02,-6.0
2016-08-05,6.383
2016-09-06,33.3333
2016-09-07,50.0
2016-09-08,25.0
2016-09-09,-6.6667
2016-09-12,-5.4286
2016-09-14,17.8248
2016-09-15,-43.5897
2016-09-19,36.3636
2016-09-26,0.0
2016-10-03,-25.0
2016-10-10,-4.4444
2016-10-13,0.0
2016-10-14,-17.907
2016-10-21,-1.9476
2016-10-24,-4.6587
2016-11-04,21.2121
2016-11-08,-17.5
2016-11-11,1.2121
2016-11-17,-1.1976
2016-12-14,-8.7879
2017-01-11,-3.6545
2017-01-13,112.2845
2017-01-17,-18.7817
2017-01-18,40.75
2017-01-19,-13.3215
2017-01-20,88.8525
2017-01-23,-35.0694
2017-01-24,31.5508
2017-01-25,-36.9919
2017-01-27,0.0
2017-02-06,-9.6774
2017-02-07,8.2143
2017-02-08,-7.5908
2017-02-23,0.0
2017-02-27,35.7143
2017-02-28,-10.526299999999999
2017-03-02,26.4706
2017-03-06,4.6512
2017-03-07,-22.2222
2017-03-09,-1.7679
2017-03-10,13.4339
2017-03-13,0.0
2017-03-23,-17.9487
2017-03-24,-6.25
2017-03-27,50.0
2017-03-28,-30.8333
2017-03-29,-0.6024
2017-03-30,-7.2727
2017-03-31,-5.8824
2017-04-06,45.8333
2017-04-07,14.2857
2017-04-10,0.0
2017-04-12,-16.6667
2017-04-17,40.0
2017-04-19,-37.1429
2017-04-21,63.6364
2017-04-25,49.3056
2017-05-01,-33.0233
2017-05-02,33.3333
2017-05-05,2.0833
2017-05-10,-26.5306
2017-05-11,11.1111
2017-05-12,-11.875
2017-05-15,16.3121
2017-05-16,0.0
2017-05-17,2.439
2017-05-18,0.0
2017-05-19,2.3810000000000002
2017-05-22,72.093
2017-05-23,-29.7297
2017-05-24,0.0
2017-05-31,-7.6923
2017-06-07,-16.6667
2017-06-08,27.45
2017-06-09,13.7701
2017-06-12,6.8966
2017-06-14,1.6129
2017-06-15,-4.7619
2017-06-19,22.8
2017-06-20,-18.5668
2017-06-21,16.6667
2017-06-22,37.1429
2017-06-23,-6.25
2017-06-26,-8.8889
2017-06-28,13.4146
2017-06-29,5.3763
2017-06-30,-38.9796
2017-07-03,10.3679
2017-07-05,0.0
