ticker,MVIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.6529
2000-01-04,-9.2437
2000-01-05,1.1574
2000-01-06,0.0
2000-01-07,6.865
2000-01-10,0.6424
2000-01-11,-5.5319
2000-01-12,-5.1802
2000-01-13,0.2375
2000-01-14,4.2654
2000-01-18,4.5455
2000-01-19,-1.9565000000000001
2000-01-20,1.9956
2000-01-21,1.087
2000-01-24,2.3656
2000-01-25,-0.4202
2000-01-26,7.173
2000-01-27,9.252
2000-01-28,-9.1892
2000-01-31,-8.9286
2000-02-01,9.8039
2000-02-02,-0.3968
2000-02-03,-0.3984
2000-02-04,2.0
2000-02-07,7.2549
2000-02-08,3.8391
2000-02-09,-3.8731999999999998
2000-02-10,0.3663
2000-02-11,10.9489
2000-02-14,24.5066
2000-02-15,-2.7741
2000-02-16,16.5761
2000-02-17,13.986
2000-02-18,-11.0429
2000-02-22,-14.8276
2000-02-23,0.4049
2000-02-24,1.6129
2000-02-25,11.6402
2000-02-28,9.2417
2000-02-29,11.1714
2000-03-01,-6.3415
2000-03-02,-5.3125
2000-03-03,2.7503
2000-03-06,4.0685
2000-03-07,-2.6749
2000-03-08,-5.2854
2000-03-09,0.8929
2000-03-10,0.4425
2000-03-13,1.7621
2000-03-14,0.4329
2000-03-15,-6.8966
2000-03-16,6.713
2000-03-17,10.6291
2000-03-20,-7.0588
2000-03-21,-3.7975
2000-03-22,7.1272
2000-03-23,3.6847
2000-03-24,-5.0346
2000-03-27,-6.0291
2000-03-28,-0.885
2000-03-29,-3.683
2000-03-30,-11.4716
2000-03-31,16.4921
2000-04-03,-8.427
2000-04-04,-6.7485
2000-04-05,-6.3158
2000-04-06,5.618
2000-04-07,0.266
2000-04-10,-3.183
2000-04-11,-5.7534
2000-04-12,-11.3372
2000-04-13,-3.2787
2000-04-14,-26.1017
2000-04-17,-8.2569
2000-04-18,36.0
2000-04-19,11.3971
2000-04-20,5.2805
2000-04-24,-11.9122
2000-04-25,-3.5587
2000-04-26,-5.7196
2000-04-27,-0.1957
2000-04-28,3.7255000000000003
2000-05-01,3.7807
2000-05-02,-4.3716
2000-05-03,-2.4762
2000-05-04,2.7344
2000-05-05,2.2814
2000-05-08,0.9294
2000-05-09,-9.0239
2000-05-10,-8.502
2000-05-11,-1.9912
2000-05-12,5.8690999999999995
2000-05-15,0.6397
2000-05-16,2.1186
2000-05-17,-0.2075
2000-05-18,0.0
2000-05-19,-7.0686
2000-05-22,-9.1723
2000-05-23,-3.4483
