ticker,SWTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-13,25.7222
2019-09-16,4.8608
2019-09-17,-0.7164
2019-09-18,1.9100000000000001
2019-09-19,3.4985
2019-09-20,5.2716
2019-09-23,6.3456
2019-09-24,-2.4083
2019-09-25,-11.7864
2019-09-26,-21.5031
2019-09-27,2.766
2019-09-30,12.2153
2019-10-01,-14.5295
2019-10-02,-0.4317
2019-10-03,4.065
2019-10-04,-5.4688
2019-10-07,2.865
2019-10-08,3.5351
2019-10-09,-2.2245
2019-10-10,-0.8466
2019-10-11,1.174
2019-10-14,0.3692
2019-10-15,0.0
2019-10-16,1.3136999999999999
2019-10-17,2.1784
2019-10-18,-2.1827
2019-10-21,6.9019
2019-10-22,6.0194
2019-10-23,-3.3883
2019-10-24,-5.7346
2019-10-25,7.7929
2019-10-28,0.2332
2019-10-29,-4.2811
2019-10-30,-4.7156
2019-10-31,-2.551
2019-11-01,-0.5236
2019-11-04,-4.6316
2019-11-05,0.4415
2019-11-06,3.956
2019-11-07,-1.6913
2019-11-08,-1.2903
2019-11-11,0.5991
2019-11-12,-2.5987999999999998
2019-11-13,-0.0556
2019-11-14,-1.3348
2019-11-15,4.6223
2019-11-18,1.1853
2019-11-19,3.7274000000000003
2019-11-20,12.1663
2019-11-21,-3.2952
2019-11-22,-5.8211
2019-11-25,-2.0101
2019-11-26,9.1795
2019-11-27,1.3152
2019-11-29,5.7487
2019-12-02,11.5739
2019-12-03,1.8075
2019-12-04,-1.7753999999999999
2019-12-05,-3.6542
2019-12-06,0.0
2019-12-09,12.1533
2019-12-10,7.1636
2019-12-11,-5.6328
2019-12-12,-0.7911
2019-12-13,4.7481
2019-12-16,2.3529
2019-12-17,2.4003
2019-12-18,7.1641
2019-12-19,7.671
2019-12-20,4.0057
2019-12-23,0.6602
2019-12-24,3.0336
2019-12-26,4.8276
2019-12-27,-2.4545
2019-12-30,-3.9429
2019-12-31,3.9427
2020-01-02,-8.6516
2020-01-03,5.2048
2020-01-06,-5.8394
2020-01-07,4.0769
2020-01-08,0.1655
2020-01-09,1.7351
2020-01-10,-0.7851
2020-01-13,-3.1924
2020-01-14,-1.522
2020-01-15,-0.1145
2020-01-16,2.4928
2020-01-17,-0.8387
2020-01-21,0.141
2020-01-22,-2.0833
2020-01-23,2.2139
2020-01-24,-2.8973
2020-01-27,10.9212
2020-01-28,-6.8164
2020-01-29,1.6256
2020-01-30,-6.8671
2020-01-31,-6.7812
2020-02-03,7.0521
