ticker,MPHX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-05,-0.6623
2017-09-07,6.6667
2017-09-14,0.0
2017-09-15,0.625
2017-09-21,-0.6211
2017-10-31,0.0
2017-11-02,0.0
2017-11-03,3.75
2017-11-06,0.0
2017-11-24,-0.6024
2017-12-15,0.0
2017-12-20,0.1212
2017-12-21,0.0
2017-12-22,0.0
2017-12-29,8.9588
2018-01-05,4.4444
2018-01-23,0.0
2018-01-29,4.7872
2018-02-05,0.5076
2018-02-15,4.0404
2018-02-22,-3.5922
2018-03-05,3.2226
2018-03-13,3.4146
2018-03-15,3.3019
2018-03-19,-6.3014
2018-03-21,3.8012
2018-03-22,-2.3474
2018-03-23,2.4038
2018-03-26,0.0
2018-03-27,0.0
2018-04-04,-0.4695
2018-04-05,0.0
2018-04-16,3.6792
2018-04-23,0.546
2018-04-26,1.3575
2018-05-01,0.0
2018-05-10,0.0
2018-05-11,-0.625
2018-05-14,-0.1797
2018-05-24,0.8101
2018-05-25,0.8929
2018-05-30,0.4425
2018-05-31,1.3216
2018-06-01,-0.8696
2018-06-06,2.2807
2018-06-11,0.3431
2018-06-19,0.1709
2018-07-03,7.5085
2018-07-09,-0.7937
2018-07-10,0.4
2018-07-11,-0.3984
2018-07-13,6.0
2018-07-20,0.0
2018-07-27,0.0
2018-07-30,0.0
2018-07-31,-1.8868
2018-08-06,-2.3077
2018-08-07,2.3622
2018-08-08,-0.3846
2018-08-09,-0.3861
2018-08-10,-0.3876
2018-08-13,0.0
2018-08-15,-0.8755
2018-08-20,0.0981
2018-08-23,0.7843
2018-08-27,0.0
2018-09-04,0.3891
2018-09-07,1.5504
2018-09-10,-1.5267
2018-09-11,1.5504
2018-09-18,1.5267
2018-09-19,-2.2556
2018-09-24,0.3846
2018-09-25,1.5326
2018-09-27,-2.2641999999999998
2018-09-28,-0.3861
2018-10-02,0.0
2018-10-10,-0.7752
2018-10-11,-0.7813
2018-10-12,-1.5748
2018-10-16,-1.6
2018-10-25,0.4065
2018-10-26,-0.8097
2018-10-30,1.2245
2018-10-31,0.0
2018-11-01,-0.4032
2018-11-05,-1.5385
2018-11-06,-0.6579
2018-11-09,-0.1656
2018-11-12,-0.4975
2018-11-13,0.5
2018-11-14,-0.1036
2018-11-15,-0.3113
2018-11-16,-0.0833
2018-11-20,0.0
2018-11-27,0.0
2018-11-28,-0.3333
2018-11-30,0.7525
2018-12-03,-0.7469
2018-12-06,-0.5017
2018-12-07,-1.5966
2018-12-10,0.7686
