ticker,NSYS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,41.1765
2000-01-04,5.2083
2000-01-05,-0.9901
2000-01-06,0.0
2000-01-07,2.0
2000-01-10,-12.7451
2000-01-11,4.4944
2000-01-12,2.1505
2000-01-13,4.2105
2000-01-14,5.0505
2000-01-18,0.0
2000-01-19,-11.538499999999999
2000-01-20,0.0
2000-01-21,2.1739
2000-01-24,-10.6383
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,-11.9048
2000-01-28,13.5135
2000-01-31,0.0
2000-02-01,4.7619
2000-02-02,9.0909
2000-02-03,-14.5833
2000-02-04,4.878
2000-02-07,2.3256
2000-02-08,9.0909
2000-02-09,0.0
2000-02-10,-12.5
2000-02-11,2.3810000000000002
2000-02-14,16.2791
2000-02-15,-2.0
2000-02-16,8.1633
2000-02-17,5.6604
2000-02-18,0.0
2000-02-23,-12.5
2000-02-24,0.0
2000-02-25,14.2857
2000-02-28,-7.1429
2000-02-29,3.8462
2000-03-01,-3.7037
2000-03-02,7.2115
2000-03-03,14.7982
2000-03-06,-12.5
2000-03-07,-7.1429
2000-03-08,1.9231
2000-03-09,5.6604
2000-03-10,14.2857
2000-03-13,32.8125
2000-03-14,-10.5882
2000-03-15,0.0
2000-03-16,-14.473700000000001
2000-03-17,10.7692
2000-03-20,-5.5556
2000-03-21,-2.9412000000000003
2000-03-22,-10.6061
2000-03-23,8.4746
2000-03-24,21.875
2000-03-27,-5.1282
2000-03-28,-14.8649
2000-03-29,6.3492
2000-03-30,-5.9701
2000-03-31,-7.9365
2000-04-03,-1.7241
2000-04-04,-0.8772
2000-04-05,27.4336
2000-04-06,-16.6667
2000-04-07,5.0
2000-04-10,-0.7937
2000-04-11,-0.8
2000-04-12,-3.2258
2000-04-13,0.0
2000-04-14,-26.6667
2000-04-17,6.8182
2000-04-18,14.8936
2000-04-19,3.7037
2000-04-20,-10.7143
2000-04-24,4.0
2000-04-25,30.7692
2000-04-26,4.4118
2000-04-27,0.0
2000-04-28,4.2254
2000-05-01,-6.7568
2000-05-02,1.4493
2000-05-03,2.8571
2000-05-04,-6.9444
2000-05-05,-1.4925
2000-05-08,-9.0909
2000-05-09,6.6667
2000-05-10,-3.125
2000-05-15,-1.6129
2000-05-17,4.918
2000-05-19,-4.6875
2000-05-23,11.4754
2000-05-24,-1.4706000000000001
2000-05-25,-1.4925
2000-05-26,6.0606
2000-05-31,-2.8571
2000-06-01,-5.8824
2000-06-02,18.75
2000-06-05,7.8947
