ticker,CMBM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-26,-19.1667
2019-06-27,-2.0619
2019-06-28,0.9474
2019-07-01,1.147
2019-07-02,-0.5155
2019-07-03,-1.7617
2019-07-05,-0.1055
2019-07-08,-3.6959
2019-07-09,0.7675
2019-07-10,-2.7203
2019-07-11,4.1387
2019-07-12,0.4296
2019-07-15,6.3102
2019-07-16,0.3018
2019-07-17,-1.003
2019-07-18,3.3435
2019-07-19,2.451
2019-07-22,-4.9761
2019-07-23,0.2014
2019-07-24,-1.7085
2019-07-25,4.8057
2019-07-26,-2.6341
2019-07-29,-2.1042
2019-07-30,-0.8188
2019-07-31,-0.8256
2019-08-01,0.3122
2019-08-02,0.6224
2019-08-05,-2.9897
2019-08-06,0.2125
2019-08-07,-0.9544
2019-08-08,-0.4283
2019-08-09,-4.5161
2019-08-12,-3.1532
2019-08-13,-1.0465
2019-08-14,7.4031
2019-08-15,-1.5316999999999998
2019-08-16,-0.2222
2019-08-19,-3.2294
2019-08-20,1.8412
2019-08-21,1.6949
2019-08-22,2.2222
2019-08-23,-3.0435
2019-08-26,1.3453
2019-08-27,5.531
2019-08-28,-1.0482
2019-08-29,-0.5297
2019-08-30,-4.2599
2019-09-03,-2.3359
2019-09-04,7.0615
2019-09-05,-0.7447
2019-09-06,1.8221
2019-09-09,12.6316
2019-09-10,-12.3364
2019-09-11,6.823
2019-09-12,10.479
2019-09-13,-1.7164000000000001
2019-09-16,-4.2279
2019-09-17,4.7025
2019-09-18,-3.758
2019-09-19,2.3810000000000002
2019-09-20,-8.7442
2019-09-23,-2.5484
2019-09-24,-1.8828
2019-09-25,6.1834
2019-09-26,-2.1084
2019-09-27,-2.359
2019-09-30,1.8908
2019-10-01,-3.6082
2019-10-02,-1.8182
2019-10-03,0.0
2019-10-04,0.6536
2019-10-07,-1.1905000000000001
2019-10-08,-2.9573
2019-10-09,-0.1129
2019-10-10,-6.5537
2019-10-11,1.0883
2019-10-14,-0.4785
2019-10-15,3.6058
2019-10-16,0.8121
2019-10-17,0.9206
2019-10-18,-1.5964
2019-10-21,2.781
2019-10-22,-2.593
2019-10-23,1.1574
2019-10-24,0.6865
2019-10-25,0.2273
2019-10-28,-1.1338
2019-10-29,1.4908000000000001
2019-10-30,-0.226
2019-10-31,-0.7928
2019-11-01,-1.0274
2019-11-04,-2.5375
2019-11-05,2.7218999999999998
2019-11-06,0.1152
2019-11-07,-0.5754
2019-11-08,-15.9722
2019-11-11,6.4738
