ticker,PMPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-12,0.0
2004-05-12,-87.5
2006-08-01,5614.286
2006-09-01,-40.0
2006-09-08,133.3333
2006-10-02,-28.5714
2006-10-20,0.0
2006-10-24,0.0
2006-12-22,60.0
2007-06-20,-20.0
2007-08-16,-18.75
2007-09-26,-19.2308
2007-10-16,42.8571
2007-11-09,-16.6667
2007-12-21,-20.0
2008-01-22,0.0
2008-02-29,5.0
2008-10-07,4.7619
2009-02-17,0.0
2009-03-03,-31.8182
2010-01-08,-66.6667
2010-03-03,400.0
2010-06-15,0.0
2011-10-12,60.0
2011-10-25,-37.5
2012-04-10,60.0
2012-04-13,212.5
2012-04-16,-16.0
2012-04-17,9.5238
2012-04-18,21.7391
2012-04-19,7.1429
2012-04-20,-16.6667
2012-04-23,20.0
2012-04-25,-20.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-30,8.3333
2012-05-01,-7.6923
2012-05-02,4.1667
2012-05-04,0.0
2012-05-07,20.0
2012-05-09,-13.3333
2012-05-10,-3.8462
2012-05-14,12.0
2012-05-15,7.1429
2012-05-16,-6.6667
2012-05-17,-7.1429
2012-05-18,7.6923
2012-05-22,-7.1429
2012-05-23,0.0
2012-05-25,3.8462
2012-05-29,3.7037
2012-05-30,0.0
2012-06-01,-3.5714
2012-06-06,0.0
2012-06-07,0.0
2012-06-12,-3.7037
2012-07-02,-30.7692
2012-07-03,0.0
2012-07-05,12.2222
2012-07-10,3.9604
2012-07-16,-23.8095
2012-07-17,50.0
2012-07-27,-8.3333
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,13.6364
2012-08-08,0.0
2012-08-09,20.0
2012-08-13,33.3333
2012-08-16,0.0
2012-08-23,7.5
2012-08-24,-18.6047
2012-08-27,42.8571
2012-08-30,0.0
2012-09-11,-12.0
2012-09-12,13.6364
2012-09-13,12.0
2012-09-20,0.0
2012-09-21,0.0
2012-09-27,3.5714
2012-10-15,70.6897
2012-10-17,-34.3434
2012-10-18,-7.6923
2012-10-19,16.6667
2012-11-01,0.0
2012-11-09,-7.1429
2012-11-15,30.7692
2012-11-23,0.0
2012-11-26,3.5294
2012-11-28,-20.6818
2012-12-03,-13.467
2012-12-04,0.9934
2012-12-18,22.9508
2013-01-04,0.0
2013-01-25,12.8
2013-02-01,13.4752
2013-02-05,-4.1667
2013-02-06,2.1739
2013-02-19,0.0
2013-02-22,0.0
2013-02-27,2.1277
2013-03-05,0.0
2013-03-08,0.0
