ticker,AVRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-15,133.3333
2014-06-06,42.8571
2014-06-17,0.0
2014-07-18,200.0
2014-07-31,0.0
2014-08-20,-49.0
2014-09-15,-11.7647
2014-09-19,-11.1111
2014-09-25,-0.0313
2014-10-30,-87.246
2014-10-31,0.0
2014-11-14,390.1961
2014-11-17,0.0
2014-11-19,0.0
2014-11-20,4.0
2014-11-24,-11.538499999999999
2014-11-25,-13.0435
2014-11-28,0.0
2014-12-01,0.0
2014-12-02,0.0
2014-12-05,12.5
2014-12-08,-11.1111
2014-12-10,0.0
2014-12-17,0.0
2015-01-05,-11.1111
2015-01-06,-10.0
2015-01-07,11.1111
2015-01-08,5.0
2015-01-09,0.0
2015-01-12,2.3810000000000002
2015-01-13,2.3256
2015-01-14,-4.5455
2015-01-15,11.9048
2015-01-16,-2.1277
2015-01-20,-8.6957
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,2.3810000000000002
2015-01-26,6.9767
2015-01-27,-2.1739
2015-01-28,6.6667
2015-01-29,2.0833
2015-02-02,-2.0408
2015-02-04,4.1667
2015-02-05,-2.0
2015-02-09,-1.0204
2015-02-10,-3.0928
2015-02-12,0.0
2015-02-23,2.1277
2015-02-25,-2.0833
2015-02-26,-4.2553
2015-03-05,6.6667
2015-03-09,-6.25
2015-03-12,0.0
2015-03-13,0.0
2015-03-16,13.3333
2015-03-24,-11.7647
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-30,-4.4444
2015-03-31,4.6512
2015-04-02,2.2222
2015-04-06,10.8696
2015-04-07,3.9215999999999998
2015-04-08,1.8868
2015-04-09,0.0
2015-04-10,-7.4074
2015-04-13,2.0
2015-04-14,-20.5882
2015-04-15,-1.2346
2015-04-16,5.0
2015-04-17,4.7619
2015-04-20,6.8182
2015-04-21,1.0638
2015-04-22,-8.4211
2015-04-23,3.4483
2015-04-24,-6.4444
2015-04-27,-2.6128
2015-04-28,-0.2439
2015-04-29,-1.467
2015-04-30,-1.9851
2015-05-01,-7.5949
2015-05-04,-6.8493
2015-05-05,1.875
2015-05-06,15.4818
2015-05-07,-10.0
2015-05-08,16.6667
2015-05-11,-19.0476
2015-05-12,0.0368
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,4.3366
2015-05-18,-26.7348
2015-05-19,25.9135
2015-05-21,-19.0531
2015-05-22,0.0
2015-05-26,13.2075
2015-05-27,16.6667
2015-05-28,0.0
2015-06-01,-22.8214
