ticker,TNKE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-21,-99.9381
2007-09-06,304.0
2007-12-13,18.8119
2007-12-17,8.3333
2007-12-18,15.3846
2007-12-19,20.0
2007-12-20,11.1111
2007-12-27,12.5
2007-12-31,11.1111
2008-01-02,-14.0
2008-01-03,16.2791
2008-01-07,-14.0
2008-01-10,23.2558
2008-01-16,13.2075
2008-01-23,6.6667
2008-01-24,9.375
2008-02-01,4.2857
2008-02-13,-21.9178
2008-02-14,-63.1579
2008-02-15,61.9048
2008-02-19,-11.7647
2008-02-20,-20.0
2008-02-21,4.1667
2008-02-22,4.0
2008-02-25,7.6923
2008-03-10,-25.0
2008-03-13,-33.3333
2008-03-17,-21.4286
2008-04-30,83.6364
2009-09-14,73.2673
2009-09-29,-98.8286
2010-03-19,21.9512
2010-11-29,0.0
2011-08-08,2900.0
2011-09-13,-49.3333
2011-12-09,44.7368
2011-12-15,36.3636
2012-02-24,0.0
2012-04-24,-93.3333
2012-07-20,120.0
2013-04-30,945.4545
2013-10-29,-88.6957
2013-11-05,7.6923
2013-12-16,3.5714
2013-12-17,0.0
2013-12-18,51.7241
2014-01-03,-31.8182
2014-01-07,6.6667
2014-01-08,-6.25
2014-01-10,40.0
2014-01-28,-19.0476
2014-02-04,-17.647100000000002
2014-02-07,27.8571
2014-02-11,0.0
2014-02-12,0.0
2014-02-18,56.4246
2014-02-19,14.2857
2014-02-20,15.625
2014-02-21,13.5135
2014-02-24,0.1488
2014-02-25,1.0401
2014-02-26,7.0588
2014-02-27,-25.2747
2014-02-28,-17.0588
2014-03-03,-11.8794
2014-03-04,-3.4205
2014-03-05,-18.75
2014-03-06,2.5641
2014-03-07,10.0
2014-03-10,20.4545
2014-03-11,0.7547
2014-03-12,2.9962999999999997
2014-03-13,1.8182
2014-03-14,-1.7856999999999998
2014-03-17,-13.0909
2014-03-18,-10.0418
2014-03-19,-16.2791
2014-03-20,-15.5556
2014-03-21,-0.6579
2014-03-24,2.649
2014-03-25,-9.6774
2014-03-26,-7.1429
2014-03-27,14.6154
2014-03-28,-6.0403
2014-03-31,-8.5714
2014-04-01,-14.0625
2014-04-02,0.0
2014-04-03,-9.0909
2014-04-04,0.0
2014-04-07,-4.0
2014-04-08,4.1667
2014-04-09,-9.875
2014-04-10,-0.1387
2014-04-11,0.0
2014-04-14,-0.2083
2014-04-15,0.0
2014-04-16,10.2296
2014-04-17,11.1111
2014-04-21,19.5455
2014-04-22,-16.3498
2014-04-23,-22.7273
