ticker,HRTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-23,4.5455
2014-05-27,3.6522
2014-05-28,0.6711
2014-05-29,3.0833
2014-05-30,0.485
2014-06-02,0.9654
2014-06-03,1.1155
2014-06-04,2.0489
2014-06-05,2.1622
2014-06-06,3.4769
2014-06-09,2.0453
2014-06-10,-3.078
2014-06-11,3.6189
2014-06-12,0.7128
2014-06-13,0.6369
2014-06-16,1.3361
2014-06-17,1.2490999999999999
2014-06-18,2.9472
2014-06-19,0.3329
2014-06-20,1.1944
2014-06-23,-0.459
2014-06-24,-1.1858
2014-06-25,-0.0667
2014-06-26,0.0
2014-06-27,-2.6017
2014-06-30,4.1781
2014-07-01,0.5917
2014-07-02,-2.2222
2014-07-03,0.0
2014-07-07,-0.4679
2014-07-08,1.3432
2014-07-09,-0.994
2014-07-10,-1.071
2014-07-11,-0.6089
2014-07-14,-0.2723
2014-07-15,-2.3891
2014-07-16,3.8462
2014-07-17,-1.2795
2014-07-18,2.3874
2014-07-21,1.066
2014-07-22,-2.1753
2014-07-23,2.6954000000000002
2014-07-24,-0.9843
2014-07-25,-0.729
2014-07-28,-1.6021
2014-07-29,0.2035
2014-07-30,-1.3541
2014-07-31,-3.0199
2014-08-01,0.3539
2014-08-04,2.9619
2014-08-05,-3.0822
2014-08-06,5.583
2014-08-07,-3.2798
2014-08-08,-0.2768
2014-08-11,2.2901
2014-08-12,0.1357
2014-08-13,1.2195
2014-08-14,-0.5355
2014-08-15,0.0673
2014-08-18,0.3362
2014-08-19,0.2681
2014-08-20,-0.4679
2014-08-21,-0.6044
2014-08-22,1.4189
2014-08-25,1.932
2014-08-26,-1.3072
2014-08-27,-2.8477
2014-08-28,0.7498
2014-08-29,1.1502
2014-09-02,0.4013
2014-09-03,-2.2652
2014-09-04,-0.8862
2014-09-05,2.751
2014-09-08,-0.6024
2014-09-09,-0.6061
2014-09-10,0.4065
2014-09-11,0.0
2014-09-12,0.2699
2014-09-15,-0.1346
2014-09-16,-1.752
2014-09-17,-0.1372
2014-09-18,0.4121
2014-09-19,-2.5991999999999997
2014-09-22,0.7725
2014-09-23,-1.8815
2014-09-24,-0.4261
2014-09-25,-1.1412
2014-09-26,-1.3709
2014-09-29,4.9744
2014-09-30,4.9477
2014-10-01,0.2656
2014-10-02,0.5298
2014-10-03,-0.9881
2014-10-06,-0.4657
2014-10-07,-1.8717000000000001
2014-10-08,-0.1362
2014-10-09,-1.0914
2014-10-10,-1.7241
2014-10-13,2.3158
