ticker,ANIK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.885
2000-01-04,0.0
2000-01-05,-3.5714
2000-01-06,-0.6944
2000-01-07,0.6993
2000-01-10,3.7037
2000-01-11,-0.8929
2000-01-12,-2.7027
2000-01-13,0.0
2000-01-14,-1.8519
2000-01-18,-0.9434
2000-01-19,-0.9524
2000-01-20,-3.8462
2000-01-21,4.0
2000-01-24,7.6923
2000-01-25,14.2857
2000-01-26,-9.375
2000-01-27,6.8966
2000-01-28,-3.2258
2000-01-31,-5.0
2000-02-01,-1.7544
2000-02-02,7.1429
2000-02-03,1.6667
2000-02-04,0.0
2000-02-07,3.2787
2000-02-08,2.3810000000000002
2000-02-09,3.1008
2000-02-10,-3.7594
2000-02-11,3.125
2000-02-14,9.0909
2000-02-15,-9.7222
2000-02-16,3.8462
2000-02-17,3.7037
2000-02-18,-1.4285999999999999
2000-02-22,-10.1449
2000-02-23,6.4516
2000-02-24,4.5455
2000-02-25,-4.3478
2000-02-28,0.7576
2000-02-29,15.0376
2000-03-01,13.7255
2000-03-02,5.1724
2000-03-03,0.5464
2000-03-06,-4.8913
2000-03-07,0.5714
2000-03-08,-5.1136
2000-03-09,10.1796
2000-03-10,-3.8043
2000-03-13,-7.3446
2000-03-14,-2.439
2000-03-15,-2.5
2000-03-16,-10.2564
2000-03-17,2.8571
2000-03-20,-5.2083
2000-03-21,2.5641
2000-03-22,3.5714
2000-03-23,3.7931
2000-03-24,3.6545
2000-03-27,0.0
2000-03-28,-2.5641
2000-03-29,-7.8947
2000-03-30,-2.8571
2000-03-31,3.6765
2000-04-03,-2.1277
2000-04-04,-4.3478
2000-04-05,0.7576
2000-04-06,0.7519
2000-04-07,1.4925
2000-04-10,-2.9412000000000003
2000-04-11,-4.1667
2000-04-12,-6.7194
2000-04-13,1.6949
2000-04-14,-6.6667
2000-04-17,-10.7143
2000-04-18,10.0
2000-04-19,-1.8182
2000-04-20,6.9444
2000-04-24,3.8961
2000-04-25,3.3333
2000-04-26,0.0
2000-04-27,12.0968
2000-04-28,-10.7914
2000-05-01,-1.6129
2000-05-02,-4.918
2000-05-03,5.1724
2000-05-04,-1.6393
2000-05-05,0.0
2000-05-08,2.0833
2000-05-09,4.4898
2000-05-10,-1.5625
2000-05-11,1.5873
2000-05-12,0.0
2000-05-15,2.3438
2000-05-16,9.9237
2000-05-17,-0.6944
2000-05-18,0.6993
2000-05-19,0.0
2000-05-22,-8.3333
2000-05-23,0.0
2000-05-24,-3.0303
