ticker,STUO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-24,-60.0
2008-10-01,-50.0
2008-10-15,0.0
2008-10-22,0.0
2008-11-03,0.0
2008-11-04,-80.0
2008-11-05,0.0
2008-11-06,50.0
2008-11-07,-33.3333
2008-11-12,50.0
2008-11-14,-66.6667
2008-11-17,0.0
2008-11-18,0.0
2008-11-19,100.0
2008-11-21,0.0
2008-12-05,0.0
2008-12-08,-80.0
2008-12-17,-50.0
2008-12-18,0.0
2008-12-23,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-08,0.0
2009-01-21,350.0
2009-01-23,-33.3333
2009-01-28,33.3333
2009-02-06,0.0
2009-02-09,0.0
2009-02-12,-25.0
2009-02-18,0.0
2009-02-19,566.6667
2009-02-20,0.0
2009-02-23,-75.0
2009-02-24,-40.0
2009-03-05,33.3333
2009-03-30,-50.0
2009-04-14,0.0
2009-04-15,50.0
2009-04-20,-33.3333
2009-04-22,0.0
2009-04-23,0.0
2009-04-30,0.0
2009-05-05,300.0
2009-05-26,-98.4375
2009-07-08,0.0
2009-10-14,700.0
2010-01-21,-87.5
2010-05-14,0.0
2011-02-18,0.0
2012-07-13,150.0
2013-03-27,-60.0
2013-05-08,0.0
2016-06-21,0.0
2017-03-30,0.0
2017-08-28,-92.8
2017-10-10,455.5556
2017-11-28,-80.0
2018-02-28,-90.0
2018-11-30,300.0
2019-04-04,-75.0
2019-05-15,900.0
2019-05-17,0.0
2019-06-24,-10.0
2019-08-20,0.0
2019-10-25,-88.8889
2020-01-07,9900.0
2020-01-08,-99.0
2020-01-17,800.0
2020-02-07,344.4444
2020-04-17,150.0
2020-06-25,-99.0
