ticker,FOLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-31,-3.8
2007-06-01,-6.4449
2007-06-04,2.2222
2007-06-05,1.5941999999999998
2007-06-06,-0.1427
2007-06-07,-0.3571
2007-06-08,1.7204000000000002
2007-06-11,-1.4799
2007-06-12,-0.7868
2007-06-13,-2.5234
2007-06-14,0.5917
2007-06-15,2.4265
2007-06-18,-6.1019
2007-06-19,-1.7584
2007-06-20,-4.7471
2007-06-21,-8.3333
2007-06-22,-3.4759
2007-06-25,-2.3084
2007-06-26,2.4575
2007-06-27,6.7712
2007-06-28,-0.2938
2007-06-29,-0.3466
2007-07-02,5.0435
2007-07-03,-0.6623
2007-07-05,-0.1667
2007-07-06,1.6694
2007-07-09,5.2545
2007-07-10,0.546
2007-07-11,0.8534
2007-07-12,2.0
2007-07-13,1.5836999999999999
2007-07-16,-2.3014
2007-07-17,-4.4842
2007-07-18,-1.5106000000000002
2007-07-19,-2.4233000000000002
2007-07-20,-2.2351
2007-07-23,1.6088
2007-07-24,-2.75
2007-07-25,-1.114
2007-07-26,-0.3466
2007-07-27,0.2609
2007-07-30,1.8213
2007-07-31,-3.9182
2007-08-01,4.078
2007-08-02,-0.3407
2007-08-03,-5.4701
2007-08-06,1.4466999999999999
2007-08-07,2.0499
2007-08-08,5.7642
2007-08-09,1.0735
2007-08-10,-0.8987
2007-08-13,-0.0824
2007-08-14,-3.3828
2007-08-15,-1.7079
2007-08-16,5.6472999999999995
2007-08-17,-7.5658
2007-08-20,4.5374
2007-08-21,0.5957
2007-08-22,-2.7073
2007-08-23,-3.0435
2007-08-24,2.6906
2007-08-27,-0.0873
2007-08-28,0.0874
2007-08-29,3.6681
2007-08-30,0.4212
2007-08-31,-0.3356
2007-09-04,2.3569
2007-09-05,-0.2467
2007-09-06,4.122
2007-09-07,-0.6334
2007-09-10,-3.1076
2007-09-11,3.9474
2007-09-12,-3.481
2007-09-13,0.8197
2007-09-14,7.3171
2007-09-17,1.2879
2007-09-18,1.1219
2007-09-19,7.7663
2007-09-20,4.7358
2007-09-21,-0.9174
2007-09-24,-0.0661
2007-09-25,-0.728
2007-09-26,1.3333
2007-09-27,2.5
2007-09-28,7.2529
2007-10-01,3.83
2007-10-02,-1.4409
2007-10-03,-1.9298
2007-10-04,-0.4174
2007-10-05,7.7844
2007-10-08,0.2222
2007-10-09,-0.4989
2007-10-10,0.2786
2007-10-11,-0.4444
2007-10-12,0.2232
2007-10-15,-4.9555
2007-10-16,-1.2302
