ticker,HSTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-13,799900.0
2005-06-29,-5.0
2006-02-16,-73.6842
2006-02-17,4.0
2006-04-06,207.6923
2006-04-07,0.0
2006-04-12,0.0
2006-04-13,0.0
2006-04-17,0.0
2006-04-18,0.0
2006-04-20,0.0
2006-04-24,0.0
2006-05-01,0.0
2006-05-05,0.0
2006-05-16,0.0
2006-05-23,0.0
2006-05-31,0.0
2006-06-08,0.0
2006-07-06,0.0
2006-09-27,-62.5
2007-09-04,33.3333
2007-09-10,0.0
2008-01-24,0.0
2008-03-18,110.0
2008-04-01,-52.381
2009-03-11,0.0
2009-04-16,0.0
2009-12-01,0.0
2009-12-10,-25.0
2010-04-06,236.6667
2012-03-30,-75.2475
2013-10-03,80.0
2018-12-06,177.7778
2019-03-06,-20.0
2020-03-26,100.0
