ticker,UXIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-27,7.4444
2018-06-28,1.0341
2018-06-29,-7.4719
2018-07-02,-9.8451
2018-07-03,4.2945
2018-07-05,-8.2353
2018-07-06,-5.8974
2018-07-09,4.3597
2018-07-10,-2.4804
2018-07-11,3.4806
2018-07-12,9.3144
2018-07-13,2.2485
2018-07-16,-2.8935
2018-07-17,-0.4768
2018-07-18,-4.1916
2018-07-19,-5.75
2018-07-20,0.2653
2018-07-23,1.1905000000000001
2018-07-24,0.1307
2018-07-25,-0.6527
2018-07-26,-8.2786
2018-07-27,-6.7335
2018-07-30,-11.6743
2018-07-31,7.1304
2018-08-01,0.0
2018-08-02,9.5779
2018-08-03,1.9259
2018-08-06,-5.3779
2018-08-07,3.3794
2018-08-08,-1.6345
2018-08-09,1.3595
2018-08-10,-2.0864
2018-08-13,-6.5449
2018-08-14,-7.6547
2018-08-15,-7.231
2018-08-16,5.8934999999999995
2018-08-17,-5.5655
2018-08-20,-1.1407
2018-08-21,20.0
2018-08-22,6.25
2018-08-23,0.1508
2018-08-24,-6.7771
2018-08-27,0.3231
2018-08-28,0.9662
2018-08-29,-1.5949
2018-08-30,-3.8898
2018-08-31,0.0
2018-09-04,-0.1686
2018-09-05,-8.1081
2018-09-06,-1.8382
2018-09-07,0.7491
2018-09-10,-0.9294
2018-09-11,-2.439
2018-09-12,-3.0769
2018-09-13,1.9841
2018-09-14,1.5564
2018-09-17,-3.0651
2018-09-18,-0.5929
2018-09-19,2.3857
2018-09-20,2.9126
2018-09-21,2.8302
2018-09-24,7.5229
2018-09-25,9.215
2018-09-26,4.8437
2018-09-27,-3.1297
2018-09-28,4.4615
2018-10-01,-4.1237
2018-10-02,-5.6836
2018-10-03,3.4202
2018-10-04,2.8346
2018-10-05,-0.4594
2018-10-08,-3.0769
2018-10-09,-7.619
2018-10-10,0.8591
2018-10-11,5.6218
2018-10-12,-0.6452
2018-10-15,2.4351
2018-10-16,3.0111
2018-10-17,-2.7692
2018-10-18,-6.0127
2018-10-19,-5.7239
2018-10-22,0.1786
2018-10-23,-3.7433
2018-10-24,-6.2963000000000005
2018-10-25,1.7787
2018-10-26,-0.3883
2018-10-29,0.0
2018-10-30,0.1949
2018-10-31,5.8366
2018-11-01,10.8456
2018-11-02,-0.8292
2018-11-05,-1.3378
2018-11-06,-0.678
2018-11-07,0.8532
2018-11-08,-3.2149
2018-11-09,-4.1958
2018-11-12,-3.6496
2018-11-13,0.947
