ticker,BGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-23,2.0
2007-05-24,3.3183
2007-05-25,-0.7299
2007-05-29,0.8088
2007-05-30,-1.167
2007-05-31,-0.2191
2007-06-01,1.403
2007-06-04,-0.4376
2007-06-05,0.6603
2007-06-06,-0.292
2007-06-07,0.146
2007-06-08,0.9475
2007-06-11,-2.4549
2007-06-12,-1.9245
2007-06-13,1.5849
2007-06-14,0.1486
2007-06-15,1.1869
2007-06-18,-1.0264
2007-06-19,2.963
2007-06-20,-2.6619
2007-06-21,0.4435
2007-06-22,0.6623
2007-06-25,-2.4123
2007-06-26,0.3745
2007-06-27,0.8358
2007-06-28,-1.1278
2007-06-29,0.3802
2007-07-02,0.3788
2007-07-03,0.1509
2007-07-05,0.6029
2007-07-06,0.5993
2007-07-09,-0.8935
2007-07-10,1.8032
2007-07-11,0.2214
2007-07-12,0.1473
2007-07-13,0.7353
2007-07-16,0.365
2007-07-17,0.2909
2007-07-18,-0.2901
2007-07-19,0.0
2007-07-20,2.2545
2007-07-23,-1.7781
2007-07-24,-1.3034
2007-07-25,1.2472
2007-07-26,-2.2464
2007-07-27,0.2224
2007-07-30,-0.1479
2007-07-31,-1.4074
2007-08-01,1.2772000000000001
2007-08-02,-0.1484
2007-08-03,-1.1887
2007-08-06,0.6767
2007-08-07,0.0747
2007-08-08,0.4478
2007-08-09,-3.3432
2007-08-10,1.2298
2007-08-13,0.9112
2007-08-14,-5.3424
2007-08-15,2.7027
2007-08-16,-2.9412000000000003
2007-08-17,-0.0797
2007-08-20,-0.7183
2007-08-21,0.0804
2007-08-22,0.9639
2007-08-23,1.0342
2007-08-24,0.0
2007-08-27,-1.4173
2007-08-28,-0.1597
2007-08-29,0.4
2007-08-30,0.9562
2007-08-31,0.9471
2007-09-04,2.0328
2007-09-05,0.3831
2007-09-06,0.0
2007-09-07,1.6031
2007-09-10,-1.2772000000000001
2007-09-11,0.6088
2007-09-12,0.1513
2007-09-13,-0.3134
2007-09-14,0.769
2007-09-17,-0.0752
2007-09-18,-0.5267
2007-09-19,0.9834
2007-09-20,0.0
2007-09-21,0.3745
2007-09-24,0.0
2007-09-25,-1.1614
2007-09-26,-0.2444
2007-09-27,-0.9231
2007-09-28,-0.6211
2007-10-01,-0.3125
2007-10-02,-0.4702
2007-10-03,-2.7559
2007-10-04,2.1053
2007-10-05,2.9937
2007-10-08,-0.8277
2007-10-09,0.1553
2007-10-10,0.0775
2007-10-11,0.0775
2007-10-12,0.1548
