ticker,CASA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-15,10.7692
2017-12-18,1.3889
2017-12-19,2.0548
2017-12-20,-0.7383
2017-12-21,6.1528
2017-12-22,-3.758
2017-12-26,4.1693999999999996
2017-12-27,0.6989
2017-12-28,-0.694
2017-12-29,12.8335
2018-01-02,4.4482
2018-01-03,-1.8868
2018-01-04,-2.7473
2018-01-05,6.2147
2018-01-08,1.7021
2018-01-09,-3.3473
2018-01-10,3.0303
2018-01-11,3.3613
2018-01-12,4.2175
2018-01-16,-0.4388
2018-01-17,-2.2527
2018-01-18,-7.6653
2018-01-19,0.5426
2018-01-22,-1.9428
2018-01-23,5.8338
2018-01-24,-2.4961
2018-01-25,0.64
2018-01-26,-7.2602
2018-01-29,4.0571
2018-01-30,-1.9220000000000002
2018-01-31,6.8869
2018-02-01,4.2431
2018-02-02,3.5678
2018-02-05,-2.7656
2018-02-06,-0.2994
2018-02-07,1.3013
2018-02-08,-7.9051
2018-02-09,-3.2189
2018-02-12,-0.2217
2018-02-13,-0.1111
2018-02-14,-0.0556
2018-02-15,4.118
2018-02-16,2.9931
2018-02-20,7.2652
2018-02-21,-2.7576
2018-02-22,-3.4328
2018-02-23,1.185
2018-02-26,3.1059
2018-02-27,11.5062
2018-02-28,0.7972
2018-03-01,-0.3954
2018-03-02,-3.176
2018-03-05,7.0615
2018-03-06,3.5319000000000003
2018-03-07,-0.9453
2018-03-08,3.195
2018-03-09,8.1624
2018-03-12,11.0781
2018-03-13,0.4016
2018-03-14,4.0
2018-03-15,7.6603
2018-03-16,-6.0732
2018-03-19,1.7433
2018-03-20,-1.838
2018-03-21,-0.2856
2018-03-22,1.8141
2018-03-23,-7.1585
2018-03-26,6.9024
2018-03-27,-7.0236
2018-03-28,-5.2846
2018-03-29,4.9356
2018-04-02,-1.4656
2018-04-03,1.2452
2018-04-04,-2.7332
2018-04-05,2.1426
2018-04-06,-5.3989
2018-04-09,4.7619
2018-04-10,3.4004
2018-04-11,-0.7718
2018-04-12,3.4156
2018-04-13,-0.7848
2018-04-16,1.3843
2018-04-17,8.3225
2018-04-18,-1.4106
2018-04-19,-3.5921
2018-04-20,-4.8942
2018-04-23,-1.0624
2018-04-24,-11.812100000000001
2018-04-25,-2.0167
2018-04-26,-7.6893
2018-04-27,-4.0387
2018-04-30,2.5427
2018-05-01,1.2398
2018-05-02,1.2247
2018-05-03,-5.1314
2018-05-04,0.044
2018-05-07,0.8791
2018-05-08,-1.0893
2018-05-09,-0.3084
