ticker,IFLM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-12,6.25
2010-11-15,2.9412000000000003
2010-11-16,5.7143
2010-11-22,2.7027
2010-11-24,0.0
2010-12-02,0.0
2010-12-17,2.6316
2011-01-05,-2.5641
2011-04-13,0.0
2011-05-31,0.0
2011-07-12,2.6316
2011-08-31,-61.5385
2011-09-02,66.6667
2011-09-07,64.0
2011-09-09,21.9512
2011-09-13,40.0
2011-09-14,44.2857
2011-09-19,0.0
2011-10-11,2.9703
2011-10-13,-51.9231
2011-10-18,0.0
2011-10-20,20.0
2011-10-24,0.0
2011-10-25,33.3333
2011-10-26,25.0
2011-11-02,0.0
2011-11-04,0.0
2011-11-07,-10.0
2011-11-09,-16.6667
2011-11-10,18.6667
2011-11-14,6.7416
2011-11-30,-46.3158
2011-12-02,0.0
2011-12-05,27.451
2011-12-08,0.0
2011-12-13,16.9231
2011-12-14,-21.0526
2011-12-15,25.0
2011-12-16,-26.6667
2011-12-19,-7.2727
2011-12-20,-5.8824
2011-12-21,-10.4167
2011-12-22,-4.6512
2012-01-10,7.3171
2012-01-11,18.1818
2012-01-17,34.6154
2012-01-26,-27.1429
2012-02-14,-21.5686
2012-02-15,0.0
2012-02-21,12.5
2012-03-05,-22.2222
2012-03-12,45.7143
2012-03-15,0.0
2012-03-28,-19.6078
2012-04-02,-2.439
2012-04-03,0.0
2012-04-05,-62.5
2012-04-09,66.6667
2012-04-24,40.0
2012-04-27,-14.2857
2012-04-30,8.3333
2012-05-01,-1.8462
2012-05-11,-23.1975
2012-05-15,1.2245
2012-06-01,-33.4677
2012-06-04,45.4545
2012-06-06,6.25
2012-06-14,-1.9607999999999999
2012-06-29,8.0
2012-07-11,-25.625
2012-07-18,-52.6922
2012-07-19,-31.5789
2012-08-02,-23.0769
2012-08-03,-10.0
2012-08-08,11.1111
2012-08-09,0.0
2012-08-10,0.0
2012-08-14,0.0
2012-08-15,-2.0
2012-08-16,-38.3929
2012-08-17,-17.1843
2012-08-20,-28.0
2012-08-21,-27.7778
2012-08-22,0.0
2012-08-23,-7.6923
2012-08-24,8.3333
2012-08-27,0.0
2012-08-28,-23.0769
2012-08-29,0.0
2012-08-30,1.25
2012-08-31,-11.1111
2012-09-06,-5.5556
2012-09-07,0.0
2012-09-11,-11.7647
2012-09-12,-13.3333
2012-09-13,53.8462
2012-09-14,0.0
2012-09-17,0.0
2012-09-18,-46.875
2012-09-19,35.2941
2012-09-20,11.3043
2012-09-21,-25.0
