ticker,WOLV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-15,-50.0
2009-12-16,50.0
2009-12-17,-8.3333
2009-12-18,-12.7273
2009-12-21,4.1667
2009-12-22,-4.0
2009-12-23,25.0
2009-12-24,33.3333
2009-12-28,0.0
2009-12-29,25.0
2009-12-30,-20.0
2009-12-31,0.0
2010-01-04,75.0
2010-01-05,-14.2857
2010-01-06,-16.6667
2010-01-07,-10.0
2010-01-08,0.0
2010-01-11,-11.1111
2010-01-12,-5.0
2010-01-13,5.2632
2010-01-14,37.5
2010-01-15,10.9091
2010-01-19,-9.8361
2010-01-20,-18.1818
2010-01-21,-11.1111
2010-01-22,25.0
2010-01-25,0.0
2010-01-26,14.0
2010-01-27,-12.2807
2010-01-28,0.0
2010-01-29,0.0
2010-02-01,-20.0
2010-02-02,20.0
2010-02-03,4.1667
2010-02-04,-20.0
2010-02-05,43.75
2010-02-08,0.0
2010-02-09,-13.0435
2010-02-10,-10.0
2010-02-11,0.0
2010-02-12,0.0
2010-02-17,-11.1111
2010-02-18,-15.0
2010-02-19,0.0
2010-02-22,17.647100000000002
2010-02-23,-5.0
2010-02-24,0.0
2010-02-26,-13.1579
2010-03-01,0.0
2010-03-03,0.0
2010-03-04,21.2121
2010-03-08,0.0
2010-03-09,-12.1875
2010-03-10,-3.2028
2010-03-11,2.9412000000000003
2010-03-12,-5.7143
2010-03-15,18.1818
2010-03-16,-12.8205
2010-03-17,17.647100000000002
2010-03-18,-12.5
2010-03-19,0.0
2010-03-22,13.75
2010-03-23,-0.314
2010-03-24,-11.811
2010-03-25,2.8571
2010-03-26,0.0
2010-03-29,11.1111
2010-03-30,-2.5
2010-03-31,-5.1282
2010-04-01,0.0
2010-04-05,-8.1081
2010-04-06,0.0
2010-04-07,17.647100000000002
2010-04-08,-2.5
2010-04-09,0.0
2010-04-12,0.0
2010-04-13,-10.2564
2010-04-14,14.2857
2010-04-15,-5.0
2010-04-16,15.7895
2010-04-19,-9.0909
2010-04-20,10.0
2010-04-21,-9.0909
2010-04-22,0.0
2010-04-23,0.0
2010-04-26,-5.0
2010-04-29,-13.9803
2010-04-30,7.0746
2010-05-03,2.8571
2010-05-04,0.0
2010-05-05,8.3333
2010-05-06,2.5641
2010-05-07,0.0
2010-05-10,0.0
2010-05-11,22.5
2010-05-12,2.0408
2010-05-13,20.0
2010-05-14,5.0
2010-05-17,1.5873
2010-05-18,-1.3672
2010-05-19,2.9703
2010-05-20,-1.5385
2010-05-21,68.75
