ticker,MNVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-18,0.0
2011-03-14,-9.0909
2011-04-18,-50.0
2012-07-17,-80.0
2012-08-03,410.0
2012-08-09,0.0
2012-08-10,5.8824
2012-08-13,-7.4074
2012-08-15,18.0
2012-08-16,0.0
2012-08-17,-22.0339
2012-08-20,0.0
2012-08-21,8.6957
2012-08-24,8.0
2012-08-27,-7.4074
2012-08-28,16.0
2012-08-29,3.4483
2012-09-05,18.3333
2012-09-06,11.2676
2012-09-10,1.2658
2012-09-12,0.0
2012-09-17,0.0
2012-09-28,0.0
2012-10-01,-25.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-09,-6.6667
2012-10-16,7.1429
2012-10-17,6.6667
2012-10-19,3.125
2012-10-22,4.5455
2012-10-25,0.0
2012-10-26,-1.4493
2012-10-31,-11.7647
2012-11-02,15.0
2012-11-05,-7.2464
2012-11-06,6.25
2012-11-07,-20.5882
2012-11-08,0.0
2012-11-09,0.0
2012-11-12,-25.9259
2012-11-13,24.4062
2012-11-14,-15.5991
2012-11-15,-4.7619
2012-11-16,-7.5
2012-11-19,-2.7027
2012-11-20,0.0
2012-11-26,-22.2222
2012-11-27,7.1429
2012-11-28,-6.6667
2012-11-29,42.8571
2012-11-30,-10.0
2012-12-03,11.1111
2012-12-04,0.0
2012-12-05,0.0
2012-12-07,20.0
2012-12-10,-12.0833
2012-12-11,-5.2133
2012-12-13,0.0
2012-12-14,22.5
2012-12-17,2.0408
2012-12-18,0.0
2012-12-19,-8.0
2012-12-20,-13.0435
2012-12-27,29.75
2012-12-28,-3.6609
2012-12-31,-8.0
2013-01-03,6.5217
2013-01-04,9.7959
2013-01-07,7.8067
2013-01-08,0.0
2013-01-09,3.4483
2013-01-10,8.3333
2013-01-11,-4.6154
2013-01-14,-3.2258
2013-01-15,16.6667
2013-01-16,-11.4286
2013-01-17,3.2258
2013-01-18,0.0
2013-01-22,-3.125
2013-01-24,0.0
2013-01-25,-24.1935
2013-01-28,19.1489
2013-01-29,-10.7143
2013-01-30,16.0
2013-01-31,-13.7931
2013-02-01,24.0
2013-02-04,-19.3548
2013-02-05,4.0
2013-02-06,7.6923
2013-02-07,17.8571
2013-02-08,-15.1515
2013-02-11,-10.7143
2013-02-12,19.8
2013-02-13,0.1669
2013-02-14,3.3333
2013-02-15,-3.2258
2013-02-19,6.3333
2013-02-20,-18.4953
2013-02-21,-3.8462
2013-02-22,0.0
2013-02-25,8.0
