ticker,SWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-19,0.2
2018-10-22,2.7279
2018-10-23,-2.8497
2018-10-24,-3.3333
2018-10-25,0.2759
2018-10-26,-2.2696
2018-10-29,0.2815
2018-10-30,1.4035
2018-10-31,0.9689
2018-11-01,0.891
2018-11-02,1.5625
2018-11-05,-1.0033
2018-11-06,1.1486
2018-11-07,0.8016
2018-11-08,-0.8615
2018-11-09,0.7353
2018-11-12,-2.4552
2018-11-13,2.449
2018-11-14,-0.7304
2018-11-15,0.3344
2018-11-16,0.7333
2018-11-19,-2.3825
2018-11-20,-5.7627
2018-11-21,1.1511
2018-11-23,-0.569
2018-11-26,3.3619
2018-11-27,0.0692
2018-11-28,5.325
2018-11-29,0.394
2018-11-30,4.0549
2018-12-03,2.0742
2018-12-04,-1.9704000000000002
2018-12-06,1.1307
2018-12-07,0.3727
2018-12-10,5.198
2018-12-11,4.2941
2018-12-12,5.2453
2018-12-13,-12.8617
2018-12-14,-3.198
2018-12-17,-8.9581
2018-12-18,-1.9539
2018-12-19,-0.3559
2018-12-20,-4.2857
2018-12-21,-2.0149
2018-12-24,-5.9406
2018-12-26,5.4251
2018-12-27,3.6866
2018-12-28,-0.2222
2018-12-31,2.6726
2019-01-02,-0.8677
2019-01-03,-4.5952
2019-01-04,8.792
2019-01-07,3.6543
2019-01-08,2.7119
2019-01-09,1.4521
2019-01-10,2.4073
2019-01-11,0.1271
2019-01-14,-0.8249
2019-01-15,2.1753
2019-01-16,1.4402
2019-01-17,2.0987999999999998
2019-01-18,2.1765
2019-01-22,-2.4852
2019-01-23,0.4248
2019-01-24,1.571
2019-01-25,1.9630999999999998
2019-01-28,-0.5251
2019-01-29,0.6452
2019-01-30,0.8159
2019-01-31,1.4451
2019-02-01,1.4245
2019-02-04,1.1236
2019-02-05,0.3333
2019-02-06,-1.9933999999999998
2019-02-07,-0.8475
2019-02-08,2.849
2019-02-11,0.6648
2019-02-12,1.6511
2019-02-13,2.274
2019-02-14,-1.0058
2019-02-15,1.7112
2019-02-19,0.4206
2019-02-20,-0.6806
2019-02-21,-2.5303
2019-02-22,1.7307000000000001
2019-02-25,0.4253
2019-02-26,0.1588
2019-02-27,1.2685
2019-02-28,-0.7829
2019-03-01,-1.4203000000000001
2019-03-04,-1.7076
2019-03-05,-1.9544000000000001
2019-03-06,-0.8859
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,0.6704
2019-03-12,0.7769
2019-03-13,2.6982
2019-03-14,1.7694
