ticker,ICMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,5.4
2014-02-07,0.8855
2014-02-10,-0.627
2014-02-11,0.0631
2014-02-12,-1.3241
2014-02-13,0.3195
2014-02-14,-1.4013
2014-02-18,0.6137
2014-02-19,1.7657
2014-02-20,1.2618
2014-02-21,0.2492
2014-02-24,-1.1187
2014-02-25,0.5657
2014-02-26,-0.625
2014-02-27,-0.0629
2014-02-28,-2.3285
2014-03-03,0.3222
2014-03-04,0.6423
2014-03-05,-1.8507
2014-03-06,0.5852
2014-03-07,-0.4525
2014-03-10,1.2987
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,-1.0256
2014-03-14,1.6192
2014-03-17,-4.2065
2014-03-18,0.2661
2014-03-19,2.8534
2014-03-20,-0.831
2014-03-21,2.765
2014-03-24,-1.7936999999999999
2014-03-25,-0.5871
2014-03-26,-0.5249
2014-03-27,-0.2639
2014-03-28,-0.6614
2014-03-31,3.7949
2014-04-01,-3.3034
2014-04-02,2.4876
2014-04-03,-0.6472
2014-04-04,-2.4104
2014-04-07,-2.6702
2014-04-08,-2.4005
2014-04-09,-0.6325
2014-04-10,-0.6365
2014-04-11,-5.3381
2014-04-14,4.8872
2014-04-15,-0.2867
2014-04-16,0.9346
2014-04-17,-1.7806
2014-04-21,1.0877
2014-04-22,1.7934
2014-04-23,-0.9161
2014-04-24,-2.1337
2014-04-25,1.1628
2014-04-28,1.8678
2014-04-29,-0.9873
2014-04-30,0.7123
2014-05-01,-1.5558999999999998
2014-05-02,0.3592
2014-05-05,1.5032
2014-05-06,-1.9746000000000001
2014-05-07,-4.6763
2014-05-08,-1.2075
2014-05-09,-1.0695000000000001
2014-05-12,0.695
2014-05-13,-0.3834
2014-05-14,2.0785
2014-05-15,-3.0166
2014-05-16,3.4992
2014-05-19,3.7566
2014-05-20,-0.5069
2014-05-21,3.7118
2014-05-22,1.1228
2014-05-23,0.9715
2014-05-27,-0.6186
2014-05-28,-0.8299
2014-05-29,-3.6959999999999997
2014-05-30,1.231
2014-06-02,2.8612
2014-06-03,-0.3477
2014-06-04,0.2094
2014-06-05,0.9053
2014-06-06,0.207
2014-06-09,0.4132
2014-06-10,0.1372
2014-06-11,-1.2328999999999999
2014-06-12,0.1907
2014-06-13,0.9213
2014-06-16,-1.0534
2014-06-17,2.9099
2014-06-18,-1.5171999999999999
2014-06-19,1.0504
2014-06-20,0.2772
2014-06-23,0.2073
2014-06-24,-1.0345
2014-06-25,1.324
