ticker,BUUZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-13,4.3478
2006-02-14,29.1667
2006-02-15,0.0
2006-02-16,0.0
2006-02-17,1.2903
2006-02-21,0.0
2006-02-22,0.0
2006-02-23,1.9108
2006-02-24,6.25
2006-02-27,4.7059
2006-02-28,3.9326
2006-03-01,0.0
2006-03-02,-5.4054
2006-03-03,3.4286
2006-03-06,-1.105
2006-03-07,-7.8212
2006-03-08,0.0
2006-03-09,-2.4242
2006-03-10,-3.1056
2006-03-13,-6.4103
2006-03-14,0.0
2006-03-15,-3.4247
2006-03-16,1.4184
2006-03-17,-2.7972
2006-03-20,3.5971
2006-03-21,-3.4722
2006-03-22,-0.7194
2006-03-23,0.7246
2006-03-24,0.7194
2006-03-27,0.0
2006-03-28,1.4285999999999999
2006-03-29,-3.5211
2006-03-30,0.7299
2006-03-31,-2.1739
2006-04-03,-2.2222
2006-04-04,0.7576
2006-04-05,0.3759
2006-04-06,0.3745
2006-04-07,0.0
2006-04-10,2.2388
2006-04-11,-2.9196999999999997
2006-04-12,0.7519
2006-04-13,1.4925
2006-04-17,-0.7353
2006-04-18,-2.963
2006-04-19,-5.3435
2006-04-20,-2.4194
2006-04-21,9.0909
2006-04-24,0.0
2006-04-25,1.5152
2006-04-26,-1.4925
2006-04-27,-1.5152
2006-04-28,-2.3077
2006-05-01,0.0
2006-05-02,-2.3622
2006-05-03,0.8065
2006-05-04,2.8
2006-05-05,-6.6148
2006-05-08,4.1667
2006-05-09,0.0
2006-05-10,-6.4
2006-05-11,-1.7094
2006-05-12,-6.9565
2006-05-15,7.4766
2006-05-16,0.0
2006-05-17,-4.3478
2006-05-18,0.0
2006-05-19,-4.5455
2006-05-22,-4.7619
2006-05-23,-47.0
2006-05-24,41.5094
2006-05-25,6.6667
2006-05-26,0.0
2006-05-30,6.25
2006-05-31,0.0
2006-06-01,0.0
2006-06-05,-22.352899999999998
2006-06-06,13.6364
2006-06-07,0.0
2006-06-08,-18.0
2006-06-09,12.1951
2006-06-12,-10.1449
2006-06-13,0.0
2006-06-14,-1.6129
2006-06-15,-8.1967
2006-06-16,10.7143
2006-06-19,12.9032
2006-06-20,-7.1429
2006-06-21,-20.0
2006-06-22,0.0
2006-06-23,11.538499999999999
2006-06-27,-10.3448
2006-06-28,11.538499999999999
2006-06-29,0.0
2006-06-30,-5.1724
2006-07-03,3.6364
2006-07-05,5.2632
2006-07-06,-8.3333
2006-07-07,0.0
2006-07-10,-3.6364
2006-07-11,0.0
