ticker,CENX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3333
2000-01-04,-0.8621
2000-01-05,6.9565
2000-01-06,5.2846
2000-01-07,4.2471
2000-01-10,-1.4815
2000-01-11,-3.3835
2000-01-12,0.3891
2000-01-13,-3.1008
2000-01-14,0.8
2000-01-18,-4.7619
2000-01-19,-1.6667
2000-01-20,-8.4746
2000-01-21,7.4074
2000-01-24,1.2931
2000-01-25,1.7021
2000-01-26,-1.2551999999999999
2000-01-27,-0.8475
2000-01-28,-2.5641
2000-01-31,-5.2632
2000-02-01,4.1667
2000-02-02,0.0
2000-02-03,-6.2222
2000-02-04,-4.2654
2000-02-07,-5.4455
2000-02-08,13.089
2000-02-09,-3.4722
2000-02-10,-1.199
2000-02-11,3.8834999999999997
2000-02-14,5.6075
2000-02-15,5.3097
2000-02-16,0.8403
2000-02-17,4.0625
2000-02-18,-1.1011
2000-02-22,0.4049
2000-02-23,0.4032
2000-02-24,-2.8112
2000-02-25,-6.6116
2000-02-28,1.7699
2000-02-29,-5.2174
2000-03-01,2.7523
2000-03-02,0.0
2000-03-03,0.4464
2000-03-06,-4.0
2000-03-07,-1.3889
2000-03-08,-2.3474
2000-03-09,0.9615
2000-03-10,-0.9524
2000-03-13,-3.8462
2000-03-14,-4.0
2000-03-15,7.2917
2000-03-16,4.2718
2000-03-17,10.2804
2000-03-20,-1.2711999999999999
2000-03-21,-2.1459
2000-03-22,-2.6316
2000-03-23,-1.8018
2000-03-24,-0.9174
2000-03-27,-3.7037
2000-03-28,-0.4808
2000-03-29,6.2802
2000-03-30,-2.2727
2000-03-31,2.3256
2000-04-03,0.9091
2000-04-04,-0.9009
2000-04-05,4.5455
2000-04-06,3.4783
2000-04-07,-2.521
2000-04-10,6.4655000000000005
2000-04-11,0.0
2000-04-12,-1.6194
2000-04-13,-0.823
2000-04-14,-3.7344
2000-04-17,-4.3103
2000-04-18,4.5045
2000-04-19,-1.7241
2000-04-20,-1.7544
2000-04-24,0.0
2000-04-25,4.4643
2000-04-26,-3.4188
2000-04-27,-2.6549
2000-04-28,1.8182
2000-05-01,-0.8929
2000-05-02,0.0
2000-05-03,1.8018
2000-05-04,0.0
2000-05-05,-0.885
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-0.4464
2000-05-11,1.3453
2000-05-12,2.2124
2000-05-15,-3.8961
2000-05-16,1.8018
2000-05-17,-1.7699
2000-05-18,-1.8018
2000-05-19,-2.7523
2000-05-22,-8.9623
