ticker,NOG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-15,-0.9901
2007-03-23,0.0
2007-03-26,16.6667
2007-03-28,8.5714
2007-03-30,31.5789
2007-04-02,0.0
2007-04-13,-20.0
2007-04-25,-15.0
2007-04-27,0.0
2007-05-02,17.647100000000002
2007-05-03,18.75
2007-05-04,-5.2632
2007-05-07,6.6667
2007-05-10,2.0833
2007-05-11,0.0
2007-05-14,0.0
2007-05-18,-3.0612
2007-05-21,-5.2632
2007-05-22,-2.2222
2007-05-23,0.0
2007-05-24,0.0
2007-05-25,0.0
2007-05-30,-5.6818
2007-05-31,3.6145
2007-06-01,-1.1628
2007-06-04,1.1764999999999999
2007-06-05,-6.9767
2007-06-06,10.0
2007-06-07,-2.2727
2007-06-08,0.0
2007-06-11,0.0
2007-06-12,1.1628
2007-06-14,0.0
2007-06-15,-5.7471
2007-06-18,6.0976
2007-06-19,0.0
2007-06-20,3.4483
2007-06-21,1.1111
2007-06-22,20.8791
2007-06-25,-9.0909
2007-06-26,-14.0
2007-06-27,20.9302
2007-06-28,0.9615
2007-06-29,0.0
2007-07-02,2.8571
2007-07-03,1.8519
2007-07-06,1.8182
2007-07-09,2.6786
2007-07-10,4.3478
2007-07-12,-8.3333
2007-07-16,2.7273
2007-07-18,-2.6549
2007-07-19,-4.5455
2007-07-20,-4.7619
2007-07-23,6.0
2007-07-24,1.8868
2007-07-30,-7.4074
2007-07-31,0.0
2007-08-01,5.0
2007-08-03,0.0
2007-08-08,0.0
2007-08-09,0.0
2007-08-10,-6.6667
2007-08-13,-3.0612
2007-08-14,5.2632
2007-08-17,10.0
2007-08-20,0.0
2007-08-21,0.0
2007-08-24,-3.6364
2007-08-30,-1.8868
2007-09-04,0.0
2007-09-10,-13.461500000000001
2007-09-11,15.5556
2007-09-12,-3.8462
2007-09-13,0.0
2007-09-14,1.0
2007-09-18,-1.9802
2007-09-19,0.0
2007-09-20,0.0
2007-09-21,1.4141
2007-09-24,-1.3944
2007-09-27,-3.0303
2007-09-28,3.125
2007-10-01,1.0101
2007-10-02,4.0
2007-10-03,-1.9231
2007-10-04,2.9412000000000003
2007-10-05,-2.4762
2007-10-08,-2.3437
2007-10-09,0.0
2007-10-10,0.0
2007-10-12,0.0
2007-10-15,0.0
2007-10-16,2.0
2007-10-17,-3.5294
2007-10-18,0.6098
2007-10-19,5.0505
2007-10-22,-3.8462
2007-10-23,4.0
2007-10-24,0.0
2007-10-25,-0.9615
2007-10-26,1.9417
