ticker,AUTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.2346
2000-01-04,5.6911000000000005
2000-01-05,0.0
2000-01-06,3.8462
2000-01-07,-3.3333
2000-01-10,-13.41
2000-01-11,-9.292
2000-01-12,-4.3902
2000-01-13,9.6939
2000-01-14,-5.1163
2000-01-18,-5.3922
2000-01-19,1.0363
2000-01-20,-5.641
2000-01-21,9.2391
2000-01-24,-3.9801
2000-01-25,1.5544
2000-01-26,0.5102
2000-01-27,0.5076
2000-01-28,0.0
2000-01-31,-11.6162
2000-02-01,-6.2857
2000-02-02,1.2195
2000-02-03,5.4217
2000-02-04,-0.5714
2000-02-07,1.1494
2000-02-08,18.1818
2000-02-09,-5.7692
2000-02-10,-5.102
2000-02-11,-2.1505
2000-02-14,-3.8462
2000-02-15,1.7143000000000002
2000-02-16,-1.1236
2000-02-17,-3.4091
2000-02-18,-4.7059
2000-02-22,-3.0864
2000-02-23,-4.4586
2000-02-24,-1.3333
2000-02-25,0.0
2000-02-28,4.0541
2000-02-29,11.039
2000-03-01,0.5848
2000-03-02,-6.9767
2000-03-03,6.25
2000-03-06,1.7647
2000-03-07,0.0
2000-03-08,-2.8902
2000-03-09,-4.1667
2000-03-10,1.087
2000-03-13,0.768
2000-03-14,-2.439
2000-03-15,0.625
2000-03-16,-10.559
2000-03-17,-0.6944
2000-03-20,-4.1958
2000-03-21,-7.2993
2000-03-22,3.9370000000000003
2000-03-23,-3.0303
2000-03-24,5.4688
2000-03-27,-0.7407
2000-03-28,6.7164
2000-03-29,-6.2937
2000-03-30,-5.9701
2000-03-31,4.3651
2000-04-03,-9.1255
2000-04-04,-6.2762
2000-04-05,5.3571
2000-04-06,3.3898
2000-04-07,8.1967
2000-04-10,-13.2576
2000-04-11,-8.2969
2000-04-12,-0.9524
2000-04-13,-6.7308
2000-04-14,12.3711
2000-04-17,-9.1743
2000-04-18,5.0505
2000-04-19,0.9615
2000-04-20,-8.0952
2000-04-24,-0.5181
2000-04-25,1.0417
2000-04-26,3.0928
2000-04-27,-4.0
2000-04-28,-1.5625
2000-05-01,24.8677
2000-05-02,-10.5932
2000-05-03,-6.1611
2000-05-04,4.798
2000-05-05,1.2048
2000-05-08,-0.9524
2000-05-09,1.9231
2000-05-10,-0.9434
2000-05-11,-1.4285999999999999
2000-05-12,0.4831
2000-05-15,-0.9615
2000-05-16,2.9126
2000-05-17,-1.8868
2000-05-18,0.9615
2000-05-19,1.9048
2000-05-22,-3.7382999999999997
