ticker,QFIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-14,0.0
2018-12-17,-0.0606
2018-12-18,0.0606
2018-12-19,-1.2121
2018-12-20,0.7975
2018-12-21,-0.5478
2018-12-24,-7.2827
2018-12-26,0.7261
2018-12-27,-1.5727
2018-12-28,4.7936
2018-12-31,-1.4828000000000001
2019-01-02,-4.6857
2019-01-03,-1.4208
2019-01-04,-3.9121
2019-01-07,-1.5314
2019-01-08,-4.393
2019-01-09,-8.0425
2019-01-10,-7.0132
2019-01-11,-1.6859
2019-01-14,-9.296
2019-01-15,22.3881
2019-01-16,9.7561
2019-01-17,-6.6667
2019-01-18,5.873
2019-01-22,-8.5457
2019-01-23,3.5246
2019-01-24,6.8884
2019-01-25,-6.3704
2019-01-28,-2.2152
2019-01-29,1.6181
2019-01-30,0.3981
2019-01-31,0.7129
2019-02-01,-1.1016
2019-02-04,3.5032
2019-02-05,2.6923
2019-02-06,-2.6217
2019-02-07,-4.5385
2019-02-08,4.5729
2019-02-11,-3.409
2019-02-12,1.156
2019-02-13,0.5513
2019-02-14,-1.1757
2019-02-15,1.1905000000000001
2019-02-19,4.1569
2019-02-20,9.3328
2019-02-21,-0.0647
2019-02-22,11.0958
2019-02-25,4.8387
2019-02-26,-3.1361
2019-02-27,1.6494
2019-02-28,1.1418
2019-03-01,0.5942
2019-03-04,1.3585
2019-03-05,1.7483
2019-03-06,-2.6919
2019-03-07,-7.2396
2019-03-08,-7.9315
2019-03-11,3.9972
2019-03-12,1.3917
2019-03-13,-5.2941
2019-03-14,-11.6632
2019-03-15,14.0625
2019-03-18,13.0822
2019-03-19,4.4821
2019-03-20,-4.7536000000000005
2019-03-21,3.4084
2019-03-22,-1.4126
2019-03-25,-3.8806000000000003
2019-03-26,-0.7453
2019-03-27,-3.0038
2019-03-28,-3.2258
2019-03-29,2.3333
2019-04-01,3.9088000000000003
2019-04-02,-2.1944
2019-04-03,-1.7949000000000002
2019-04-04,1.1749
2019-04-05,2.5806
2019-04-08,6.7296
2019-04-09,1.7678
2019-04-10,-0.9844
2019-04-11,0.8772
2019-04-12,-1.2753999999999999
2019-04-15,0.9982
2019-04-16,31.9186
2019-04-17,-8.7704
2019-04-18,16.4251
2019-04-22,-5.3527000000000005
2019-04-23,-7.5844000000000005
2019-04-24,-1.186
2019-04-25,-0.4321
2019-04-26,-5.4966
2019-04-29,2.1429
2019-04-30,-0.7493
2019-05-01,-0.4529
2019-05-02,0.91
2019-05-03,11.1222
