ticker,ASCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-24,1900.0
2012-05-25,0.0
2012-06-08,0.0
2012-07-19,75.0
2012-07-20,-42.8571
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,-12.5
2012-07-26,60.0
2012-07-27,80.3571
2012-07-30,-0.9901
2012-07-31,2.0
2012-08-01,7.8431
2012-08-02,-0.9091
2012-08-03,5.5046
2012-08-06,-5.2174
2012-08-07,-8.2569
2012-08-08,0.0
2012-08-09,9.0
2012-08-10,0.0
2012-08-13,-0.9174
2012-08-16,6.4815
2012-08-17,13.0435
2012-08-20,6.1538
2012-08-21,8.6957
2012-08-22,7.6667
2012-08-23,5.2632
2012-08-24,11.7647
2012-08-27,13.1579
2012-08-28,-2.3256
2012-08-29,-14.2857
2012-08-30,11.1111
2012-08-31,4.6563
2012-09-04,-4.4491
2012-09-05,-2.5
2012-09-06,0.0
2012-09-07,0.0
2012-09-10,-12.8205
2012-09-11,8.8235
2012-09-12,2.7027
2012-09-13,-8.4211
2012-09-14,-2.8736
2012-09-18,-2.3669000000000002
2012-09-19,-15.1515
2012-09-20,7.1429
2012-09-24,0.0
2012-09-25,-3.3333
2012-09-26,2.7586
2012-09-27,-12.7517
2012-10-01,0.0
2012-10-02,-0.7692
2012-10-03,-18.6047
2012-10-04,0.0
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-11,4.7619
2012-10-15,12.7273
2012-10-16,-3.2258
2012-10-17,-1.6667
2012-10-18,-0.8475
2012-10-22,4.2735
2012-10-23,-1.6393
2012-10-24,0.0
2012-10-25,13.3333
2012-10-26,-8.0882
2012-10-31,3.2
2012-11-01,-6.9767
2012-11-02,0.0
2012-11-05,-12.5
2012-11-06,4.7619
2012-11-07,9.0909
2012-11-08,8.3333
2012-11-09,0.0
2012-11-14,-19.2308
2012-11-16,0.0
2012-11-21,0.0
2012-11-27,-47.619
2012-11-28,63.6364
2012-11-29,0.0
2012-12-03,0.0
2012-12-11,-42.2222
2012-12-12,70.4808
2012-12-13,12.8032
2012-12-14,30.0
2012-12-17,0.0
2012-12-18,34.6154
2012-12-19,-9.1429
2012-12-20,-5.6604
2012-12-21,-6.6667
2012-12-24,14.2857
2012-12-26,-13.75
2012-12-27,0.7246
2012-12-28,0.7194
2012-12-31,-2.8571
2013-01-02,-8.8235
2013-01-03,0.0
2013-01-04,-31.4516
2013-01-07,20.0
2013-01-08,-1.9607999999999999
2013-01-09,-2.0
2013-01-11,2.0408
