ticker,VNRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-10,100.0
2008-05-09,-37.5
2011-10-07,1100.0
2011-10-10,0.0
2011-10-11,-16.6667
2011-10-12,-20.0
2011-10-14,-25.0
2011-10-20,0.0
2011-10-25,33.3333
2011-10-26,50.0
2011-11-01,-13.3333
2011-11-02,0.0
2011-11-03,15.3846
2011-11-04,0.0
2011-11-07,-6.6667
2011-11-11,7.1429
2011-11-18,0.0
2011-11-29,-8.3333
2011-12-05,-5.4545
2012-01-05,0.0
2012-01-10,15.3846
2012-01-26,-0.1667
2012-01-27,-0.1669
2012-01-30,0.0
2012-01-31,-0.3344
2012-02-01,0.0
2012-02-02,-1.0067
2012-02-03,1.3559
2012-02-13,0.0
2012-02-14,-0.1672
2012-02-15,1.3735
2012-02-16,-1.5202
2012-02-17,0.6711
2012-02-21,-0.6667
2012-02-22,0.1678
2012-02-23,0.5025
2012-02-24,0.0
2012-02-27,-0.5
2012-02-28,0.5025
2012-02-29,0.0
2012-03-01,-8.3333
2012-03-02,9.0909
2012-03-05,0.0
2012-03-06,-1.0
2012-03-07,1.0101
2012-03-08,-1.0
2012-03-09,0.3367
2012-03-12,0.0
2012-03-13,0.0
2012-03-14,0.0
2012-03-15,-0.3356
2012-03-16,0.0
2012-03-19,0.3367
2012-03-20,0.6711
2012-03-21,-0.6667
2012-03-26,0.6711
2012-03-29,0.0
2012-04-04,-8.0
2012-04-12,-0.3623
2012-04-13,10.1818
2012-04-16,3.9604
2012-04-18,0.3175
2012-04-19,2.8481
2012-04-24,2.0308
2012-04-25,2.5332
2012-04-26,0.0
2012-04-27,1.5937999999999999
2012-05-17,1.3263
2012-05-25,0.0
2012-06-25,-14.2857
2012-06-26,16.6667
2012-06-27,0.0
2012-06-29,-0.2857
2012-07-02,-0.2865
2012-07-03,0.5747
2012-07-16,14.1429
2012-07-17,0.1252
2012-07-31,-12.5
2012-08-01,17.1429
2012-08-13,5.0732
2012-10-18,-4.8282
2012-10-19,2.439
2012-11-05,-16.6667
2012-11-06,0.0
2012-11-14,-14.2857
2012-11-15,16.6667
2012-11-16,0.0
2012-11-23,-14.2857
2012-12-13,0.0
2012-12-14,5.0
2012-12-21,3.1746
2012-12-27,-6.1538
2012-12-31,-9.5082
2013-01-04,0.0
2013-01-07,5.0725
2013-01-10,-2.4138
2013-01-11,0.0
2013-01-17,-20.1413
2013-01-18,1.7699
2013-01-23,-13.0435
2013-01-24,25.0
2013-02-07,-20.0
2013-02-08,24.5
