ticker,PFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-23,13.5135
2001-10-24,5.4762
2001-10-25,-0.9029
2001-10-26,-2.0501
2001-10-29,-1.3953
2001-10-30,3.9623
2001-10-31,2.0871
2001-11-01,-2.4444
2001-11-02,1.0478
2001-11-05,-0.8115
2001-11-06,2.7273
2001-11-07,-3.3186
2001-11-08,-0.1373
2001-11-09,-1.0082
2001-11-12,1.7593
2001-11-13,-0.5914
2001-11-14,-0.4577
2001-11-15,0.8276
2001-11-16,1.4592
2001-11-19,0.3596
2001-11-20,1.7465000000000002
2001-11-21,0.6602
2001-11-23,-2.1425
2001-11-26,-0.2234
2001-11-27,0.3135
2001-11-28,1.7856999999999998
2001-11-29,0.3509
2001-11-30,0.3059
2001-12-03,0.0
2001-12-04,0.0
2001-12-05,1.0893
2001-12-06,1.0776
2001-12-07,0.0
2001-12-10,-0.4264
2001-12-11,0.5996
2001-12-12,0.6811
2001-12-13,-0.7188
2001-12-14,2.5554
2001-12-17,-1.6196000000000002
2001-12-18,0.0
2001-12-19,-0.7598
2001-12-20,0.2977
2001-12-21,-0.8906
2001-12-24,0.1284
2001-12-26,-0.4274
2001-12-27,1.073
2001-12-28,-0.1274
2001-12-31,2.0408
2002-01-02,-0.7083
2002-01-03,-0.3357
2002-01-04,0.8421
2002-01-07,-0.4175
2002-01-08,0.9644
2002-01-09,-0.7475
2002-01-10,1.2551999999999999
2002-01-11,-0.8264
2002-01-14,-0.0833
2002-01-15,-0.7506
2002-01-16,-0.4202
2002-01-17,2.0253
2002-01-18,0.0827
2002-01-22,1.157
2002-01-23,-2.7778
2002-01-24,1.4706000000000001
2002-01-25,6.1698
2002-01-28,1.4041000000000001
2002-01-29,-0.1154
2002-01-30,-1.8098
2002-01-31,-0.1961
2002-02-01,-4.1257
2002-02-04,-2.6639
2002-02-05,-2.1053
2002-02-06,2.8817
2002-02-07,0.3344
2002-02-08,3.2917
2002-02-11,-1.7346
2002-02-12,1.8062
2002-02-13,-0.2016
2002-02-14,-1.5758
2002-02-15,-1.2726
2002-02-19,-1.9543
2002-02-20,-0.1272
2002-02-21,-1.4862
2002-02-22,-3.0172
2002-02-25,3.0667
2002-02-26,2.1992
2002-02-27,3.1224
2002-02-28,-0.3273
2002-03-01,1.8062
2002-03-04,1.8952
2002-03-05,-0.8706
2002-03-06,-0.1996
2002-03-07,0.8
2002-03-08,-0.5952
2002-03-11,-0.3992
2002-03-12,0.2004
2002-03-13,0.08
2002-03-14,1.5987
