ticker,HENC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-15,64.0
2007-02-16,12.1951
2007-02-20,8.6957
2007-02-21,10.0
2007-02-22,-1.2121
2007-02-27,10.4294
2007-02-28,-9.4444
2007-03-08,7.362
2007-03-12,0.0
2007-03-27,0.0
2007-03-28,-1.1429
2007-03-29,-1.7341
2007-03-30,2.9412000000000003
2007-04-03,0.0
2007-04-05,2.8571
2007-04-09,-5.0
2007-04-13,2.3392
2007-04-18,1.7143000000000002
2007-04-19,1.1236
2007-04-20,0.0
2007-04-23,1.1111
2007-04-25,1.6484
2007-04-26,0.0
2007-05-01,-1.0811
2007-05-03,0.0
2007-05-08,-1.0929
2007-05-16,-6.0773
2007-05-18,-3.1176
2007-05-21,3.218
2007-05-22,-3.3529
2007-05-23,2.252
2007-05-24,0.0
2007-05-25,-1.7856999999999998
2007-05-29,-3.0303
2007-05-30,5.0
2007-05-31,10.119
2007-06-01,4.3243
2007-06-04,1.0363
2007-06-05,-5.1282
2007-06-06,1.6216
2007-06-07,0.5319
2007-06-08,-1.5873
2007-06-11,-1.6129
2007-06-12,-0.5464
2007-06-13,0.0
2007-06-14,-1.0989
2007-06-15,0.0
2007-06-18,5.0
2007-06-19,-10.0529
2007-06-20,0.0
2007-06-21,-1.7647
2007-06-22,-4.1916
2007-06-25,2.8125
2007-06-26,9.848
2007-06-27,-0.3874
2007-06-28,2.7778
2007-06-29,-6.4865
2007-07-02,-1.7341
2007-07-05,5.8824
2007-07-06,-5.5556
2007-07-09,-4.1176
2007-07-10,0.0
2007-07-11,4.2945
2007-07-12,2.9412000000000003
2007-07-13,-0.5714
2007-07-16,-8.046
2007-07-18,3.125
2007-07-19,1.2121
2007-07-20,-0.5988
2007-07-23,-3.6145
2007-07-24,25.0
2007-07-25,-10.0
2007-07-26,-5.5556
2007-07-27,-2.9412000000000003
2007-07-30,-6.0606
2007-07-31,6.4516
2007-08-01,-3.0303
2007-08-02,9.375
2007-08-03,-2.2857
2007-08-06,-6.4327
2007-08-07,-25.0
2007-08-08,0.0
2007-08-09,12.5
2007-08-10,20.7407
2007-08-13,-15.0307
2007-08-14,-17.3285
2007-08-15,-8.2969
2007-08-16,-7.619
2007-08-17,18.5567
2007-08-20,-21.3043
2007-08-21,-2.2099
2007-08-22,-7.9096
2007-08-23,-30.0613
2007-08-24,5.2632
2007-08-27,-31.6667
2007-08-28,-4.878
2007-08-29,-7.6923
2007-08-30,37.5
2007-08-31,5.0505
2007-09-04,-13.461500000000001
