ticker,WEYS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9662
2000-01-10,-2.439
2000-01-11,0.0
2000-01-14,0.0
2000-01-20,0.0
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,0.5
2000-01-28,-4.4776
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,-2.6042
2000-02-09,0.5348
2000-02-10,-4.2553
2000-02-11,8.8889
2000-02-14,-3.3163
2000-02-15,0.2639
2000-02-16,0.0
2000-02-17,-3.1579
2000-02-18,2.1739
2000-02-22,0.0
2000-02-24,3.1915
2000-02-28,0.0
2000-02-29,-2.0619
2000-03-01,2.8947000000000003
2000-03-02,-2.4041
2000-03-06,0.0
2000-03-07,0.2632
2000-03-08,0.0
2000-03-09,0.0
2000-03-10,0.5249
2000-03-16,-0.7833
2000-03-17,-1.0526
2000-03-20,0.0
2000-03-21,1.5957
2000-03-22,-1.5707
2000-03-28,1.5957
2000-03-29,2.6178
2000-03-30,-4.0816
2000-03-31,3.1915
2000-04-03,0.0
2000-04-04,-4.1237
2000-04-05,1.0753
2000-04-07,0.0
2000-04-12,0.0
2000-04-13,1.0638
2000-04-17,-1.0526
2000-04-20,1.0638
2000-04-24,-1.0526
2000-04-25,3.1915
2000-04-28,0.5155
2000-05-02,-3.5897
2000-05-03,0.0
2000-05-05,0.0
2000-05-09,0.5319
2000-05-10,0.5291
2000-05-11,1.0526
2000-05-16,0.0
2000-05-17,1.0417
2000-05-30,2.0
2000-05-31,-0.5076
2000-06-01,0.0
2000-06-06,2.0408
2000-06-08,0.0
2000-06-13,0.0
2000-06-22,0.0
2000-06-23,0.0
2000-06-26,0.5
2000-06-27,-0.4975
2000-06-28,0.0
2000-06-29,1.0
2000-06-30,0.9901
2000-07-05,-0.9804
2000-07-07,0.0
2000-07-10,0.0
2000-07-11,0.495
2000-07-17,3.4483
2000-07-18,-0.9524
2000-07-19,-0.9615
2000-07-25,-1.9417
2000-07-26,-0.9901
2000-08-01,0.0
2000-08-03,0.0
2000-08-04,0.0
2000-08-08,0.0
2000-08-15,6.5
2000-08-21,-5.1643
2000-08-31,4.4153
2000-09-01,-3.8095
2000-09-05,0.495
2000-09-15,-0.4926
2000-09-20,0.0
2000-09-22,0.9901
2000-10-02,-2.9412000000000003
2000-10-03,0.7576
2000-10-05,0.2506
2000-10-12,0.5
2000-10-19,1.99
2000-10-20,3.9024
2000-10-23,0.0
2000-10-30,-3.9906
