ticker,YETI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-25,-5.5556
2018-10-26,-3.2353
2018-10-29,-6.3222
2018-10-30,-0.9734
2018-10-31,4.3906
2018-11-01,1.4438
2018-11-02,2.104
2018-11-05,3.0909
2018-11-06,1.117
2018-11-07,-3.1977
2018-11-08,-2.042
2018-11-09,1.2262
2018-11-12,0.1211
2018-11-13,1.3309
2018-11-14,0.8358
2018-11-15,0.0
2018-11-16,0.7697
2018-11-19,3.2315
2018-11-20,-0.5122
2018-11-21,3.6612999999999998
2018-11-23,-0.1656
2018-11-26,-0.9397
2018-11-27,0.8929
2018-11-28,6.1947
2018-11-29,-16.1458
2018-11-30,4.5963
2018-12-03,1.0095
2018-12-04,-0.823
2018-12-06,-0.2371
2018-12-07,-8.2591
2018-12-10,-2.0078
2018-12-11,-1.8506
2018-12-12,-6.3972999999999995
2018-12-13,-6.1151
2018-12-14,5.5172
2018-12-17,-3.7763
2018-12-18,3.7736
2018-12-19,-1.3818
2018-12-20,-4.2773
2018-12-21,-1.5408
2018-12-24,-2.1127
2018-12-26,12.7098
2018-12-27,0.8511
2018-12-28,4.2194
2018-12-31,0.135
2019-01-02,8.9623
2019-01-03,-6.9882
2019-01-04,1.7287
2019-01-07,6.2745
2019-01-08,3.5055
2019-01-09,-0.713
2019-01-10,-2.1544
2019-01-11,2.263
2019-01-14,8.4928
2019-01-15,-3.2525
2019-01-16,-0.2849
2019-01-17,3.3714
2019-01-18,-0.0553
2019-01-22,-5.0332
2019-01-23,2.0967
2019-01-24,2.1677
2019-01-25,-0.8934
2019-01-28,-0.338
2019-01-29,-5.2007
2019-01-30,0.2982
2019-01-31,1.1296
2019-02-01,-1.2346
2019-02-04,1.6071
2019-02-05,2.7534
2019-02-06,1.3113000000000001
2019-02-07,-0.5627
2019-02-08,1.4148
2019-02-11,-0.558
2019-02-12,3.7037
2019-02-13,0.974
2019-02-14,17.3633
2019-02-15,4.2922
2019-02-19,4.5972
2019-02-20,-3.0557
2019-02-21,2.0725
2019-02-22,3.511
2019-02-25,-3.4736000000000002
2019-02-26,-2.0322
2019-02-27,4.6672
2019-02-28,-0.9496
2019-03-01,4.5852
2019-03-04,-5.4603
2019-03-05,1.5177
2019-03-06,-0.2492
2019-03-07,-5.9534
2019-03-08,6.0204
2019-03-11,0.8351
2019-03-12,1.1179999999999999
2019-03-13,7.5758
2019-03-14,5.8622
2019-03-15,7.1197
2019-03-18,0.7721
2019-03-19,-2.465
2019-03-20,-3.8251
