ticker,TTMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-21,30.8594
2000-09-22,0.8955
2000-09-25,9.4675
2000-09-26,1.6216
2000-09-27,-6.383
2000-09-28,2.5568
2000-09-29,4.1551
2000-10-02,1.5957
2000-10-03,-7.3298
2000-10-04,0.0
2000-10-05,-9.6045
2000-10-06,-6.875
2000-10-09,0.0
2000-10-10,-12.4161
2000-10-11,-16.8582
2000-10-12,-2.3041
2000-10-13,19.3396
2000-10-16,10.6719
2000-10-17,-4.6429
2000-10-18,0.3745
2000-10-19,4.4776
2000-10-20,12.5
2000-10-23,10.1587
2000-10-24,6.6282
2000-10-25,-18.3784
2000-10-26,-6.6225000000000005
2000-10-27,0.7092
2000-10-30,-3.5211
2000-10-31,16.7883
2000-11-01,3.75
2000-11-02,5.4217
2000-11-03,0.5714
2000-11-06,-1.1364
2000-11-07,-5.7471
2000-11-08,-2.439
2000-11-09,-3.125
2000-11-10,3.871
2000-11-13,-7.4534
2000-11-14,5.3690999999999995
2000-11-15,-2.5478
2000-11-16,-1.9607999999999999
2000-11-17,-9.3333
2000-11-20,-3.6765
2000-11-21,-2.2901
2000-11-22,-14.0625
2000-11-24,3.6364
2000-11-27,6.5789
2000-11-28,-0.4115
2000-11-29,1.6529
2000-11-30,0.0
2000-12-01,7.3171
2000-12-04,-15.9091
2000-12-05,-2.7027
2000-12-06,-7.4074
2000-12-07,-5.0
2000-12-08,27.3684
2000-12-11,16.1157
2000-12-12,-0.3559
2000-12-13,-4.2857
2000-12-14,-11.194
2000-12-15,-2.9412000000000003
2000-12-18,2.5974
2000-12-19,-32.4895
2000-12-20,-2.5
2000-12-21,-1.2821
2000-12-22,18.8312
2000-12-26,-12.0219
2000-12-27,-0.6211
2000-12-28,16.25
2000-12-29,22.043
2001-01-02,-16.2996
2001-01-03,5.2632
2001-01-04,-5.0
2001-01-05,-14.7368
2001-01-08,-10.8025
2001-01-09,-4.4983
2001-01-10,7.6087
2001-01-11,11.7845
2001-01-12,18.0723
2001-01-16,2.0408
2001-01-17,1.0
2001-01-18,3.9604
2001-01-19,0.0
2001-01-22,2.8571
2001-01-23,-1.3889
2001-01-24,3.2864
2001-01-25,1.8182
2001-01-26,-3.125
2001-01-29,0.4608
2001-01-30,6.422
2001-01-31,6.4655000000000005
2001-02-01,-3.6437
2001-02-02,-14.2857
2001-02-05,-15.6863
2001-02-06,0.0
2001-02-07,-5.2326
2001-02-08,-8.589
2001-02-09,-2.6846
2001-02-12,-0.6897
