ticker,USAK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5873
2000-01-04,0.0
2000-01-05,2.4194
2000-01-06,0.7874
2000-01-07,-3.125
2000-01-10,2.4194
2000-01-11,0.7874
2000-01-12,0.0
2000-01-13,1.5625
2000-01-14,3.0769
2000-01-18,1.4925
2000-01-19,-0.7353
2000-01-20,2.2222
2000-01-21,-1.4493
2000-01-24,3.6765
2000-01-25,-3.1915
2000-01-26,0.0
2000-01-27,2.5641
2000-01-28,-2.1429
2000-01-31,0.365
2000-02-01,0.0
2000-02-02,0.3636
2000-02-03,-0.3623
2000-02-07,0.3636
2000-02-08,1.4493
2000-02-09,-0.7143
2000-02-10,0.0
2000-02-11,-1.6187
2000-02-14,-1.2797
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-0.7407
2000-02-18,0.0
2000-02-22,-1.4925
2000-02-23,-1.5152
2000-02-24,1.9231
2000-02-25,-2.6414999999999997
2000-02-28,0.0
2000-02-29,-0.7752
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.7813
2000-03-07,0.0
2000-03-08,0.7752
2000-03-09,-0.7692
2000-03-10,-0.7752
2000-03-13,-2.3438
2000-03-14,-2.4
2000-03-15,-3.2787
2000-03-16,1.6949
2000-03-17,1.25
2000-03-20,-1.2346
2000-03-21,-3.3333
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,1.7241
2000-03-28,-1.6949
2000-03-29,0.0
2000-03-30,0.8621
2000-03-31,-0.8547
2000-04-03,-1.7241
2000-04-04,-3.5088
2000-04-05,0.0
2000-04-06,1.8182
2000-04-07,0.0
2000-04-10,1.7856999999999998
2000-04-11,3.5088
2000-04-12,-3.3898
2000-04-13,0.0
2000-04-14,0.0
2000-04-17,-0.8772
2000-04-18,-0.885
2000-04-19,-1.7856999999999998
2000-04-20,-5.4545
2000-04-24,4.0865
2000-04-25,4.388
2000-04-26,-0.4425
2000-04-28,0.8889
2000-05-01,-3.0837
2000-05-02,1.8182
2000-05-05,0.0
2000-05-08,-0.4464
2000-05-09,-1.3453
2000-05-10,1.8182
2000-05-11,-4.4643
2000-05-12,-1.8692
2000-05-16,0.0
2000-05-17,-2.8571
2000-05-18,2.9412000000000003
2000-05-19,-0.9524
2000-05-22,3.8462
2000-05-23,-3.7037
2000-05-24,1.9231
2000-05-25,0.0
2000-05-26,-3.7736
2000-05-30,0.0
2000-05-31,0.0
2000-06-01,0.0
2000-06-02,0.0
