ticker,MEIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-30,-2.2727
2012-12-03,-6.9767
2012-12-04,-6.25
2012-12-06,4.0
2012-12-07,2.4615
2012-12-10,-0.4004
2012-12-12,-1.7588
2012-12-17,-6.6495999999999995
2012-12-18,-0.274
2012-12-19,-3.8462
2012-12-20,-5.7143
2012-12-21,-1.5152
2012-12-24,0.0
2012-12-27,11.0769
2012-12-28,3.0436
2012-12-31,-5.9108
2013-01-02,0.0
2013-01-08,12.8179
2013-01-09,3.8336
2013-01-10,0.7317
2013-01-11,-2.9055999999999997
2013-01-14,-5.2369
2013-01-15,0.7895
2013-01-17,3.9164
2013-01-22,-4.2666
2013-01-25,2.3572
2013-01-29,7.6923
2013-02-05,0.0
2013-02-07,2.3810000000000002
2013-02-08,-4.4186
2013-02-11,-0.2433
2013-02-12,-2.1951
2013-02-15,34.6602
2013-02-19,-1.8496000000000001
2013-02-20,-17.9245
2013-02-21,-3.4483
2013-02-22,3.5714
2013-02-25,0.0
2013-02-26,-4.5474
2013-02-27,-0.0527
2013-02-28,-0.9608
2013-03-01,4.1331
2013-03-06,-3.0345
2013-03-07,-0.7259
2013-03-08,-0.7282
2013-03-11,-6.846
2013-03-13,4.2684
2013-03-14,-0.0157
2013-03-18,0.4028
2013-03-19,0.0502
2013-03-20,0.0
2013-03-21,0.0
2013-03-22,-2.7569
2013-03-27,-4.3041
2013-03-28,6.383
2013-04-01,-0.0032
2013-04-02,-0.25
2013-04-03,-2.0305
2013-04-04,1.8135
2013-04-09,-3.3079
2013-04-10,-3.6842
2013-04-11,3.5519
2013-04-12,3.6939
2013-04-15,3.0534
2013-04-18,-3.7037
2013-04-19,-6.1538
2013-04-23,1.0929
2013-04-24,0.2703
2013-05-01,-1.3477000000000001
2013-05-02,-3.0055
2013-05-03,2.6197
2013-05-07,-1.1803
2013-05-13,4.1667
2013-05-14,-4.0
2013-05-15,-2.7813
2013-05-21,-0.5714
2013-05-23,-0.8621
2013-05-28,-11.9099
2013-05-29,-1.2833
2013-05-30,-0.6667
2013-05-31,2.0134
2013-06-03,-1.9696
2013-06-04,-0.9773
2013-06-05,-0.0297
2013-06-06,1.6905999999999999
2013-06-07,-1.3333
2013-06-10,1.3514
2013-06-11,3.3333
2013-06-12,0.0
2013-06-13,-2.9032
2013-06-14,-0.3322
2013-06-17,-4.0
2013-06-19,0.0
2013-06-20,0.0
2013-06-21,3.4722
2013-06-25,-15.4362
2013-06-26,-4.7569
