ticker,VNCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-23,400.0
2007-04-09,150.0
2007-04-19,-22.0
2007-04-27,0.0
2007-05-03,0.0
2007-06-26,7.6923
2007-07-06,78.5714
2007-07-11,-20.0
2007-07-12,40.0
2007-07-13,0.0
2007-07-18,0.0
2007-07-24,-27.8571
2007-07-30,0.0
2007-08-02,-2.9703
2007-08-06,0.0
2007-08-08,0.0
2007-08-09,2.0408
2007-08-14,10.0
2007-08-15,0.0
2007-08-16,-10.9091
2007-08-27,2.0408
2007-09-06,-20.0
2007-09-10,25.0
2007-09-19,1.0
2007-09-20,8.9109
2007-09-26,13.6364
2007-09-27,60.0
2007-10-01,-5.0
2007-10-02,-18.4211
2007-10-04,-3.2258
2007-10-05,-6.6667
2007-10-08,-24.6429
2007-10-16,-4.2654
2007-10-17,33.6634
2007-10-18,-14.8148
2007-10-29,4.3478
2007-10-31,2.5
2007-11-05,-2.439
2007-11-06,37.5
2007-11-08,-27.2727
2007-11-09,-3.3333
2007-11-12,0.0
2007-11-14,7.7586
2007-11-15,0.0
2007-11-19,-19.2
2007-11-23,8.9109
2007-11-26,-4.5455
2007-11-27,0.0
2007-12-03,19.0476
2007-12-04,-4.0
2007-12-06,0.0
2007-12-10,66.6667
2007-12-11,-30.0
2007-12-12,-3.5714
2007-12-13,25.9259
2007-12-14,0.0
2007-12-18,0.0
2007-12-27,-2.9412000000000003
2007-12-31,12.1212
2008-01-02,0.0
2008-01-10,0.0
2008-01-11,0.0
2008-01-14,8.1081
2008-01-15,37.5
2008-01-16,-9.0909
2008-01-17,-20.0
2008-01-18,-12.5
2008-01-22,-26.8571
2008-01-23,-6.25
2008-01-24,16.6667
2008-01-25,-7.1429
2008-01-28,-3.8462
2008-01-29,12.0
2008-01-30,7.1429
2008-01-31,0.0
2008-02-01,13.3333
2008-02-04,0.0
2008-02-05,-17.647100000000002
2008-02-06,3.5714
2008-02-07,3.4483
2008-02-08,-6.0
2008-02-11,-3.5461
2008-02-12,17.647100000000002
2008-02-13,0.0
2008-02-14,-6.25
2008-02-19,-6.6667
2008-02-20,0.7143
2008-02-22,-11.3475
2008-02-26,0.0
2008-03-03,0.0
2008-03-10,20.0
2008-03-19,-10.0
2008-03-20,7.4074
2008-03-25,-3.4483
2008-03-27,25.0
2008-03-28,5.7143
2008-03-31,8.1081
2008-04-01,0.0
2008-04-02,0.0
2008-04-03,0.0
2008-04-09,-7.5
2008-04-10,-1.0811
2008-04-11,0.0
