ticker,ECTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-01,0.0
2010-07-02,0.0
2010-07-06,-0.95
2010-07-07,0.9591
2010-07-08,1.2
2010-07-09,1.1364
2010-07-12,-1.0747
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.642
2010-07-16,-0.8832
2010-07-19,-1.3860999999999999
2010-07-20,1.5562
2010-07-21,-0.1977
2010-07-22,-0.6191
2010-07-23,-0.2243
2010-07-26,0.05
2010-07-27,-1.1982
2010-07-28,0.0505
2010-07-29,0.2525
2010-07-30,-0.1511
2010-08-02,-0.6054
2010-08-03,-0.5584
2010-08-04,0.7657
2010-08-05,-0.5066
2010-08-06,0.8147
2010-08-09,-0.202
2010-08-10,0.6579
2010-08-11,0.1006
2010-08-12,0.4119
2010-08-13,2.0284
2010-08-16,-0.1491
2010-08-17,0.2987
2010-08-18,-0.9429
2010-08-19,0.6513
2010-08-20,0.5973
2010-08-23,0.9896
2010-08-24,-0.395
2010-08-25,-1.4726
2010-08-26,0.0499
2010-08-27,0.8477
2010-08-30,-0.6921
2010-08-31,-0.5979
2010-09-01,-0.6015
2010-09-02,0.8573
2010-09-03,0.2
2010-09-07,-0.5489
2010-09-08,-1.2544
2010-09-09,0.3557
2010-09-10,-0.2025
2010-09-13,0.0507
2010-09-14,-0.7606
2010-09-15,-0.1022
2010-09-16,0.1017
2010-09-17,-0.0505
2010-09-20,1.3292
2010-09-21,0.4541
2010-09-22,0.4018
2010-09-23,-1.5008
2010-09-24,0.0
2010-09-27,0.8126
2010-09-28,0.0504
2010-09-29,1.4602
2010-09-30,0.7444
2010-10-01,-0.0542
2010-10-04,-0.6333
2010-10-05,3.172
2010-10-06,2.7404
2010-10-07,-1.2635
2010-10-08,1.4123
2010-10-11,-1.0655000000000001
2010-10-12,4.7795
2010-10-13,-0.4934
2010-10-14,0.8047
2010-10-15,1.7303
2010-10-18,-0.0221
2010-10-19,0.0442
2010-10-20,4.0636
2010-10-21,-0.9338
2010-10-22,-1.4139
2010-10-25,-1.4776
2010-10-26,0.9263
2010-10-27,-1.0052
2010-10-28,0.4415
2010-10-29,2.1538
2010-11-01,0.8176
2010-11-02,0.8109
2010-11-03,1.1431
2010-11-04,-0.586
2010-11-05,-0.4216
2010-11-08,3.3832
2010-11-09,1.5133
2010-11-10,-1.4464000000000001
2010-11-11,1.2894999999999999
2010-11-12,0.3285
2010-11-15,-1.6373
2010-11-16,-0.0832
2010-11-17,1.9409
2010-11-18,3.9386
