ticker,LQDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-23,22.9
2006-02-24,-0.3255
2006-02-27,-3.2653
2006-02-28,-0.4219
2006-03-01,-0.4237
2006-03-02,-1.7021
2006-03-03,3.9827
2006-03-06,1.6653
2006-03-07,-1.5561
2006-03-08,-0.6656
2006-03-09,0.4188
2006-03-10,0.0834
2006-03-13,-0.5
2006-03-14,-1.5913
2006-03-15,-0.8511
2006-03-16,3.0043
2006-03-17,-2.6667
2006-03-20,1.9691999999999998
2006-03-21,3.7782999999999998
2006-03-22,8.0097
2006-03-23,-0.3745
2006-03-24,0.8271
2006-03-27,-0.8203
2006-03-28,-2.2556
2006-03-29,1.1538
2006-03-30,-1.9771999999999998
2006-03-31,-4.9651
2006-04-03,1.6327
2006-04-04,2.3293
2006-04-05,-0.5495
2006-04-06,0.2368
2006-04-07,-0.7087
2006-04-10,0.2379
2006-04-11,0.2373
2006-04-12,-1.3418
2006-04-13,2.0
2006-04-17,1.9607999999999999
2006-04-18,2.8462
2006-04-19,1.3463
2006-04-20,1.7711999999999999
2006-04-21,-0.4351
2006-04-24,-0.3642
2006-04-25,2.3392
2006-04-26,-1.1429
2006-04-27,-0.6503
2006-04-28,-1.8909
2006-05-01,1.5567
2006-05-02,2.1898
2006-05-03,-0.6429
2006-05-04,3.8821
2006-05-05,13.7024
2006-05-08,-0.913
2006-05-09,-1.9042
2006-05-10,-4.4458
2006-05-11,-8.519
2006-05-12,0.7163
2006-05-15,0.2845
2006-05-16,9.9291
2006-05-17,0.0645
2006-05-18,-4.0619
2006-05-19,-0.2688
2006-05-22,-0.5391
2006-05-23,2.5068
2006-05-24,-0.1322
2006-05-25,2.2502
2006-05-26,14.822
2006-05-30,6.257
2006-05-31,2.122
2006-06-01,-3.2208
2006-06-02,-8.7493
2006-06-05,5.8824
2006-06-06,-8.1667
2006-06-07,2.7828
2006-06-08,0.2354
2006-06-09,-1.057
2006-06-12,-3.2641
2006-06-13,-8.3436
2006-06-14,-0.0669
2006-06-15,3.5499
2006-06-16,-4.1397
2006-06-19,-5.1282
2006-06-20,-2.4893
2006-06-21,3.7929
2006-06-22,-1.0541
2006-06-23,-1.9886
2006-06-26,1.7391
2006-06-27,1.2107999999999999
2006-06-28,2.3927
2006-06-29,6.1168
2006-06-30,0.842
2006-07-03,4.1105
2006-07-05,-2.9611
2006-07-06,0.89
2006-07-07,-1.3862999999999999
2006-07-10,0.2556
2006-07-11,-2.8681
2006-07-12,-2.5591
