ticker,CDRBQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-20,60.8833
2015-05-21,38.6275
2015-05-22,-1.9802
2015-05-26,-0.4329
2015-05-27,-7.1127
2015-05-28,-7.1651
2015-05-29,20.8403
2015-06-01,1.5299
2015-06-02,3.863
2015-06-03,-6.9902
2015-06-04,-4.2825
2015-06-05,3.4074
2015-06-08,5.8453
2015-06-09,3.6816
2015-06-10,0.5483
2015-06-11,0.7531
2015-06-12,-3.866
2015-06-15,-8.5791
2015-06-16,0.6158
2015-06-17,-3.3226
2015-06-18,-1.025
2015-06-19,-4.2339
2015-06-22,-2.2265
2015-06-23,-0.553
2015-06-24,3.5002
2015-06-25,-2.8761
2015-06-26,0.8786
2015-06-29,-9.3871
2015-06-30,15.2367
2015-07-01,-7.6923
2015-07-02,-11.245
2015-07-06,-3.4314
2015-07-07,-5.9352
2015-07-08,-12.3288
2015-07-09,8.9015
2015-07-10,0.5217
2015-07-13,1.7734
2015-07-14,-2.7199
2015-07-15,-13.412
2015-07-16,-7.4672
2015-07-17,-6.2159
2015-07-20,-7.7326
2015-07-21,-3.4657
2015-07-22,-7.5718
2015-07-23,-8.1215
2015-07-24,-4.535
2015-07-27,-14.6538
2015-07-28,11.6981
2015-07-29,-6.6723
2015-07-30,-21.448
2015-07-31,-20.0461
2015-08-03,12.3919
2015-08-04,1.1538
2015-08-05,60.8365
2015-08-06,19.937
2015-08-07,-25.3614
2015-08-10,-2.2887
2015-08-11,-8.1081
2015-08-12,9.4118
2015-08-13,12.4552
2015-08-14,4.0637
2015-08-17,7.1975
2015-08-18,-7.2857
2015-08-19,-6.7026
2015-08-20,1.569
2015-08-21,-9.1057
2015-08-24,-4.5617
2015-08-25,2.6242
2015-08-26,13.1507
2015-08-27,3.9548
2015-08-28,8.4627
2015-08-31,2.3622
2015-09-01,-15.9441
2015-09-02,-29.9501
2015-09-03,7.4822
2015-09-04,2.0994
2015-09-08,4.2208
2015-09-09,0.6231
2015-09-10,-1.7544
2015-09-11,3.5714
2015-09-14,-0.2028
2015-09-15,5.0813
2015-09-16,2.2244
2015-09-17,-2.0814
2015-09-18,-11.5942
2015-09-21,-11.4754
2015-09-22,-4.321
2015-09-23,-0.2581
2015-09-24,4.5278
2015-09-25,-5.0743
2015-09-28,-2.4772
2015-09-29,-0.1337
2015-09-30,-4.6854
2015-10-01,-0.5618
2015-10-02,-0.7062
2015-10-05,1.138
2015-10-06,7.173
2015-10-07,-1.3123
2015-10-08,2.2606
