ticker,LVBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-08,0.0
2012-03-29,-5.0
2012-03-30,5.2632
2012-04-10,3.4188
2012-06-21,-12.9752
2012-06-26,16.6667
2012-07-17,-12.381
2012-07-18,-2.1739
2012-09-06,0.0
2012-09-13,-16.6667
2012-09-28,-73.3333
2012-10-04,0.0
2012-10-05,75.0
2012-10-16,-7.1429
2012-10-19,-4.6154
2012-12-17,-12.9032
2013-06-03,-7.4074
2013-08-14,8.0
2013-08-23,2.1528
2013-08-27,-9.3587
2013-09-04,20.0
2013-09-05,6.6667
2013-09-06,6.25
2013-09-10,5.8824
2013-09-12,5.5556
2013-09-13,5.2632
2013-09-18,10.0
2013-09-19,0.0
2013-09-20,2.2727
2013-09-23,2.2222
2013-09-24,4.3478
2013-09-26,4.1667
2013-09-30,0.0
2013-10-01,-10.0
2013-10-09,-11.1111
2013-10-10,0.0
2013-10-24,-2.0
2013-10-30,-3.9541
2013-10-31,-20.3187
2013-11-01,43.3333
2013-11-11,0.0
2013-11-22,4.6512
2013-11-25,0.0
2013-11-26,4.4444
2013-11-29,-14.8936
2013-12-12,-55.0
2013-12-13,-2.4306
2013-12-17,5.516
2013-12-18,24.1147
2013-12-19,-13.0435
2013-12-27,-49.5
2013-12-31,0.0
2014-01-03,0.0
2014-01-14,-0.9901
2014-01-15,0.0
2014-01-17,75.0
2014-01-21,-8.5714
2014-01-27,-37.5
2014-02-06,40.0
2014-02-10,7.1429
2014-02-12,-6.6667
2014-02-24,-28.4821
2014-02-26,-0.1248
2014-02-28,40.0
2014-03-04,-28.5714
2014-03-06,15.0
2014-03-07,-8.6957
2014-03-11,14.2857
2014-03-12,0.0
2014-03-25,25.0
2014-04-02,-33.3333
2014-04-03,0.0
2014-04-04,0.0
2014-04-08,40.0
2014-04-11,-21.3393
2014-04-14,-8.0023
2014-04-21,-1.4189
2014-04-22,-4.8811
2014-04-24,26.3158
2014-04-28,7.6042
2014-06-03,-30.3001
2014-06-04,-16.8056
2014-06-06,-6.7613
2014-06-16,0.2686
2014-06-26,-14.2857
2014-07-14,-31.4583
2014-07-24,-14.8936
2014-08-01,-13.392900000000001
2014-08-05,15.4639
2014-08-06,14.2857
2014-08-07,-37.5
2014-08-12,0.0
2014-08-14,60.0
2014-09-02,-37.8125
2014-09-05,-7.5377
2014-09-10,8.6957
2014-09-11,58.75
2014-09-12,-34.4882
2014-09-18,-16.1058
2014-09-22,-0.8596
2014-09-23,60.9827
2014-09-25,-33.9318
