ticker,AVGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-30,3.8462
2015-02-02,-1.3333
2015-02-03,-2.027
2015-02-04,-0.3831
2015-02-05,1.0769
2015-02-06,-0.6849
2015-02-09,0.3831
2015-02-10,-0.3817
2015-02-11,0.7663
2015-02-12,0.1521
2015-02-13,-2.126
2015-02-17,1.2413
2015-02-18,-8.8123
2015-02-19,-13.8655
2015-02-20,1.561
2015-02-23,2.4015
2015-02-24,7.7861
2015-02-25,6.2663
2015-02-26,-2.8665000000000003
2015-02-27,-3.8786
2015-03-02,-1.8420999999999998
2015-03-03,-0.983
2015-03-04,-2.4368
2015-03-05,0.9251
2015-03-06,-3.758
2015-03-09,-3.3333
2015-03-10,-1.4778
2015-03-11,0.0
2015-03-12,4.5
2015-03-13,0.2871
2015-03-16,1.4313
2015-03-17,0.5644
2015-03-18,6.7353
2015-03-19,-3.5933
2015-03-20,-7.9091000000000005
2015-03-23,1.6782
2015-03-24,5.3398
2015-03-25,-0.6452
2015-03-26,2.2263
2015-03-27,-0.363
2015-03-30,3.7340999999999998
2015-03-31,-2.6339
2015-04-01,1.1722
2015-04-02,2.852
2015-04-06,-0.3466
2015-04-07,1.3043
2015-04-08,3.5193
2015-04-09,-3.8143000000000002
2015-04-10,1.9828000000000001
2015-04-13,-4.9028
2015-04-14,3.9111000000000002
2015-04-15,1.7964
2015-04-16,2.2185
2015-04-17,0.8714
2015-04-20,-5.868
2015-04-21,-1.0823
2015-04-22,2.0569
2015-04-23,-0.3431
2015-04-24,1.7212
2015-04-27,0.7614
2015-04-28,-5.4576
2015-04-29,1.5986
2015-04-30,-4.021
2015-05-01,-0.6375
2015-05-04,-2.2869
2015-05-05,0.4643
2015-05-06,-1.9607999999999999
2015-05-07,8.9524
2015-05-08,-2.535
2015-05-11,2.2422
2015-05-12,-0.1316
2015-05-13,-0.3074
2015-05-14,-0.9692
2015-05-15,0.5783
2015-05-18,0.4865
2015-05-19,0.9683
2015-05-20,-1.0462
2015-05-21,1.2335
2015-05-22,-0.1741
2015-05-26,0.6103
2015-05-27,-1.0399
2015-05-28,2.7145
2015-05-29,-0.4263
2015-06-01,5.9932
2015-06-02,-2.9887
2015-06-03,0.0833
2015-06-04,1.9135
2015-06-05,-1.7551
2015-06-08,2.4096
2015-06-09,0.4462
2015-06-10,0.9693
2015-06-11,1.92
2015-06-12,-3.6892
2015-06-15,3.5045
2015-06-16,-4.0157
2015-06-17,1.0664
2015-06-18,0.487
2015-06-19,-2.5848
