ticker,ALLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-30,-1.2422
2014-02-04,0.8805
2014-02-05,-0.1247
2014-02-06,1.1236
2014-03-10,4.6296
2014-03-28,2.0649
2014-04-10,-14.0601
2014-04-11,0.9174
2014-04-14,-0.6198
2014-04-15,-0.499
2014-04-16,0.8776
2014-04-17,-1.0771
2014-04-21,0.4188
2014-04-22,0.2502
2014-04-23,0.9983
2014-04-24,0.4119
2014-04-25,0.041
2014-04-28,-1.476
2014-04-29,-0.1248
2014-04-30,0.625
2014-05-01,-0.5797
2014-05-02,0.1666
2014-05-05,0.4158
2014-05-06,0.0828
2014-05-07,1.0757
2014-05-08,3.1928
2014-05-09,-0.0793
2014-05-12,-0.8337
2014-05-13,-0.6805
2014-05-14,-0.1612
2014-05-15,-1.8975
2014-05-16,-0.3704
2014-05-19,0.9913
2014-05-20,-0.8589
2014-05-21,0.2475
2014-05-22,-0.2469
2014-05-23,-0.6601
2014-05-27,-0.1246
2014-05-28,-1.3721
2014-05-29,-0.1686
2014-05-30,-0.5068
2014-06-02,-0.1698
2014-06-03,-0.2551
2014-06-04,0.2131
2014-06-05,0.0
2014-06-06,0.3828
2014-06-09,3.5593
2014-06-10,0.5728
2014-06-11,0.2034
2014-06-12,1.2992
2014-06-13,0.0401
2014-06-16,-0.9215
2014-06-17,-0.2022
2014-06-18,-0.1621
2014-06-19,-0.0812
2014-06-20,1.4622
2014-06-23,0.2002
2014-06-24,-1.638
2014-06-25,0.2437
2014-06-26,0.0405
2014-06-27,-2.0251
2014-06-30,-1.1575
2014-07-01,0.0836
2014-07-02,0.2507
2014-07-03,0.1667
2014-07-07,-0.7491
2014-07-08,-0.8386
2014-07-09,-0.8034
2014-07-10,-0.682
2014-07-11,-0.6438
2014-07-14,1.0799
2014-07-15,-0.641
2014-07-16,1.2473
2014-07-17,-0.4248
2014-07-18,2.1758
2014-07-21,-0.2088
2014-07-22,-0.1255
2014-07-23,0.1676
2014-07-24,0.3346
2014-07-25,0.0834
2014-07-28,0.0416
2014-07-29,-1.9151
2014-07-30,-2.1222
2014-07-31,-0.4337
2014-08-01,-0.2613
2014-08-04,0.3057
2014-08-05,-1.6108
2014-08-06,1.1504
2014-08-07,-0.175
2014-08-08,0.5697
2014-08-11,0.0871
2014-08-12,0.0871
2014-08-13,2.0009
2014-08-14,3.2409
2014-08-15,-0.2478
2014-08-18,1.2836
2014-08-19,0.7359
2014-08-20,-0.1623
2014-08-21,0.935
2014-08-22,-0.3222
