ticker,NTBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-07,-8.4967
2000-06-13,4.8739
2000-06-14,-19.8718
2000-06-15,25.0
2000-08-08,-4.8
2000-08-16,-16.8067
2000-09-13,16.1616
2000-09-14,3.0435
2000-09-18,3.7975
2000-09-26,0.0
2000-09-27,1.626
2000-09-29,-2.4
2000-10-02,-9.8361
2000-10-04,10.9091
2000-10-05,0.3279
2000-10-06,2.1242
2000-10-12,-0.8
2000-10-30,-7.2581
2001-02-15,-2.4348
2001-04-23,6.9519
2008-04-23,38.5
2008-05-12,0.4813
2008-06-04,7.7844
2009-02-25,-7.2778
2009-04-16,-39.9641
2009-08-21,84.0491
2010-04-13,-25.0
2010-05-20,-11.1111
2010-05-21,45.0
2010-05-28,-31.0345
2010-06-01,45.0
2010-06-02,0.0
2010-06-03,0.0
2011-03-11,-22.4138
2011-03-14,27.4074
2011-05-20,-12.2093
2011-08-10,5.9603
2013-05-24,17.2596
2014-03-14,0.6977
2014-04-11,6.9284
2015-05-11,4.0268
2015-10-07,9.529
2016-02-17,0.3055
2016-03-09,0.0
2016-03-15,-3.5533
2016-07-11,0.3219
2016-11-18,-5.3487
2016-11-22,0.0011
2017-03-08,10.2771
2017-03-27,3.1414
2017-07-05,-3.1024
2017-08-07,1.3874
2017-08-15,-1.3684
2017-10-19,4.0555
2018-04-02,3.6611000000000002
2018-04-27,1.8163
2018-05-01,9.0188
2018-05-03,0.0
2018-05-25,1.8182
2018-06-07,-9.1735
2018-06-15,0.0
2018-07-31,0.0
2018-08-13,5.0
2018-08-14,0.0
2018-08-20,0.0
2018-10-03,-9.0476
2018-11-05,0.0
2018-12-03,1.5707
2018-12-04,0.0
2018-12-06,-7.7895
2018-12-07,6.1644
2018-12-11,0.0
2018-12-21,-0.9677
2019-01-10,2.9316
2019-01-16,0.211
2019-01-24,2.1053
2019-02-08,0.2062
2019-03-26,1.8519
2019-03-28,0.9091
2019-04-15,19.1191
2019-04-16,0.0
2019-04-17,0.6723
2019-04-23,0.0
2019-04-24,0.0
2019-05-13,0.0
2019-07-08,0.1696
2019-07-23,1.6088
2019-07-24,-1.2492
2019-07-25,-0.0008
2019-08-15,0.8439
2019-08-26,0.4184
2019-10-08,4.1667
2020-01-22,6.7535
2020-02-10,4.8018
2020-03-13,1.8182
2020-03-23,-3.5714
2020-03-25,3.7037
2020-05-06,0.7857
2020-06-01,1.63
