ticker,MNBO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-19,5.6522
2005-05-25,0.4115
2005-05-31,0.4098
2005-06-02,0.8163
2005-06-14,0.0
2005-06-23,0.0
2005-06-29,12.5506
2005-07-08,0.0
2005-07-15,1.0791
2005-08-01,3.2028
2005-09-15,6.8966
2005-11-09,0.6452
2005-11-11,-6.7308
2005-12-01,0.3436
2005-12-14,4.7945
2005-12-22,1.634
2006-01-04,0.3215
2006-01-23,3.5256
2006-01-24,0.9288
2006-01-31,5.2147
2006-02-08,2.0408
2006-02-17,0.2857
2006-03-29,2.5641
2006-04-06,3.3333
2006-04-27,4.3011
2006-05-01,8.2474
2006-05-02,9.5238
2006-05-09,-7.6087
2006-05-12,-2.1176
2006-05-18,-1.4423
2006-05-19,1.4634
2006-05-22,5.7692
2006-06-19,-5.0
2006-07-14,-3.3493
2006-07-28,2.2277
2006-08-04,1.6949
2006-08-10,-3.8095
2006-09-12,1.9802
2006-09-13,0.2427
2006-09-14,-1.2107
2006-09-27,-1.2255
2006-10-24,4.4665
2006-10-26,2.1378
2006-12-01,4.5116
2006-12-05,-2.0917
2006-12-06,0.6818
2007-02-08,-0.6772
2007-02-09,1.1364
2007-02-20,-1.1236
2007-03-01,-3.8636
2007-03-05,-3.0733
2007-03-12,2.6829
2007-03-13,-0.2375
2007-04-09,-5.7143
2007-05-09,6.0606
2007-05-10,-2.3810000000000002
2007-05-17,3.6585
2007-05-21,-1.1764999999999999
2007-06-12,-1.6667
2007-06-19,0.2421
2007-07-20,0.9662
2007-07-24,-0.2392
2007-07-27,-3.1175
2007-08-23,0.2475
2007-08-24,0.0
2007-08-27,6.1728
2007-08-28,2.093
2007-08-29,-4.328
2007-08-31,7.1429
2007-09-05,-2.2222
2007-09-11,2.2727
2007-09-14,0.0
2007-09-21,1.1111
2007-10-02,9.4505
2007-10-04,0.4016
2007-10-11,-7.8
2007-11-06,12.5813
2007-12-11,0.1927
2008-01-04,-9.6154
2008-01-14,5.3191
2008-01-16,-11.1111
2008-02-04,17.0455
2008-02-06,-6.7961
2008-02-07,0.0
2008-02-08,4.1667
2008-04-16,-7.8
2008-04-29,8.4599
2008-05-21,-0.8
2008-05-23,4.8387
2008-06-09,0.0
2008-06-10,0.0
2008-07-25,-17.5
2008-08-29,0.6993
2008-10-01,-8.1019
2008-10-10,-14.3577
2008-10-17,-5.8824
2008-10-21,0.0
2008-11-03,-5.9375
2008-12-05,0.3322
2008-12-08,25.8278
2008-12-11,26.3158
