ticker,TW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-04,32.6296
2019-04-05,2.1502
2019-04-08,7.2171
2019-04-09,-1.5808
2019-04-10,4.3004999999999995
2019-04-11,4.4709
2019-04-12,-0.4517
2019-04-15,1.0986
2019-04-16,-3.5672
2019-04-17,-3.4787
2019-04-18,-0.1015
2019-04-22,1.7530000000000001
2019-04-23,-1.8727
2019-04-24,1.7557
2019-04-25,-0.4751
2019-04-26,1.0804
2019-04-29,2.5354
2019-04-30,-2.4242
2019-05-01,0.1491
2019-05-02,-2.1335
2019-05-03,-0.7098
2019-05-06,2.7572
2019-05-07,-2.4845
2019-05-08,1.6306
2019-05-09,2.9832
2019-05-10,4.6738
2019-05-13,-0.0465
2019-05-14,1.047
2019-05-15,-2.2105
2019-05-16,3.6261
2019-05-17,-1.6360000000000001
2019-05-20,2.9106
2019-05-21,-2.4467
2019-05-22,0.046
2019-05-23,1.219
2019-05-24,0.5453
2019-05-28,-2.0791
2019-05-29,-0.7385
2019-05-30,2.418
2019-05-31,2.5472
2019-06-03,-2.8166
2019-06-04,-0.6846
2019-06-05,1.1259000000000001
2019-06-06,-0.9543
2019-06-07,-1.5829
2019-06-10,1.1888
2019-06-11,-1.5204
2019-06-12,-0.3977
2019-06-13,-1.7379
2019-06-14,-0.956
2019-06-17,0.917
2019-06-18,0.9804
2019-06-19,1.8944
2019-06-20,-0.1859
2019-06-21,0.6054
2019-06-24,-3.9343
2019-06-25,-1.0118
2019-06-26,1.0465
2019-06-27,2.1917
2019-06-28,3.2524
2019-07-01,0.137
2019-07-02,0.5699
2019-07-03,3.1278
2019-07-05,1.8022
2019-07-08,1.1442
2019-07-09,0.4482
2019-07-10,1.7425000000000002
2019-07-11,3.0284
2019-07-12,-2.1893
2019-07-15,-1.7824
2019-07-16,0.9285
2019-07-17,1.1917
2019-07-18,2.7066
2019-07-19,-0.4225
2019-07-22,1.0101
2019-07-23,0.08
2019-07-24,-7.2142
2019-07-25,0.3877
2019-07-26,3.3468999999999998
2019-07-29,-1.1003
2019-07-30,-0.8816
2019-07-31,0.2965
2019-08-01,-3.5051
2019-08-02,1.7505
2019-08-05,-2.5591
2019-08-06,0.1986
2019-08-07,1.0132
2019-08-08,-3.5324999999999998
2019-08-09,2.2378
2019-08-12,1.6582
2019-08-13,-1.0874
2019-08-14,-2.7923999999999998
2019-08-15,1.7643
2019-08-16,-0.2445
2019-08-19,0.2451
2019-08-20,1.8004
2019-08-21,0.1092
2019-08-22,-1.8321
