ticker,PBHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-24,0.0
2007-08-31,0.0
2007-09-04,0.0
2007-09-06,0.0
2007-11-29,0.0
2007-12-04,0.0
2007-12-24,0.0
2007-12-28,0.0
2007-12-31,0.0
2008-01-03,0.0
2008-01-04,0.0
2008-01-07,0.0
2008-01-11,0.0
2008-01-16,0.0
2008-01-23,0.0
2008-02-25,-50.0
2008-02-29,0.0
2008-03-19,0.0
2008-03-25,100.0
2008-04-10,-25.0
2008-04-15,0.0
2008-04-28,-33.3333
2008-06-26,0.0
2008-06-27,0.0
2008-07-25,0.0
2008-07-29,0.0
2008-08-19,0.0
2008-09-19,0.0
2008-09-29,0.0
2008-10-23,0.0
2008-12-09,0.0
2008-12-18,0.0
2009-01-12,0.0
2009-03-03,0.0
2009-05-08,0.0
2009-06-11,0.0
2009-08-25,0.0
2009-09-08,0.0
2009-11-11,0.0
2009-12-22,0.0
2009-12-24,0.0
2009-12-29,0.0
2009-12-31,0.0
2010-03-18,0.0
2010-03-29,-50.0
2010-05-26,30.0
2010-07-16,0.0
2010-09-30,0.0
2010-10-14,0.0
2010-10-22,-23.0769
2010-10-25,0.0
2010-10-29,100.0
2010-11-03,-50.0
2010-11-08,150.0
2010-12-07,100.0
2010-12-15,-20.0
2011-01-06,-50.0
2011-01-27,-45.0
2011-02-04,81.8182
2011-02-22,100.0
2011-02-23,-25.0
2011-02-24,0.0
2011-02-28,0.0
2011-03-02,-33.3333
2011-03-07,-50.0
2011-03-08,0.0
2011-03-18,200.0
2011-04-14,-66.0417
2011-04-15,96.319
2011-04-19,0.0
2011-04-20,0.0
2011-04-25,0.0
2011-04-28,-20.0
2011-05-03,25.0
2011-05-11,-50.0
2011-07-14,-81.25
2011-07-15,-14.6667
2011-07-26,9.375
2011-07-27,-7.1429
2011-08-03,-10.7692
2011-08-04,3.4483
2011-08-05,65.0
2011-08-08,6.0606
2011-08-09,3.8095
2011-08-10,-2.7523
2011-08-11,-48.1132
2011-08-12,83.6364
2011-08-15,-64.3564
2011-08-16,-16.6667
2011-08-17,133.3333
2011-08-22,-10.0
2011-08-23,7.9365
2011-08-24,2.9412000000000003
2011-08-25,-2.8571
2011-08-26,-16.1765
2011-08-29,-29.8246
2011-08-30,42.5
2011-08-31,1.7544
2011-09-01,3.4483
2011-09-02,3.3333
2011-09-06,-1.6129
2011-09-07,6.5574
2011-09-08,10.7692
2011-09-09,-44.4444
2011-09-12,65.0
2011-09-13,1.5152
