ticker,EGRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-12,-14.4667
2014-02-13,3.0398
2014-02-14,-3.177
2014-02-18,1.0937000000000001
2014-02-19,-6.1824
2014-02-20,-4.0362
2014-02-21,3.4335
2014-02-24,0.0
2014-02-25,10.7884
2014-02-26,4.8689
2014-02-27,-0.7857
2014-02-28,-0.9359
2014-03-03,-2.0349
2014-03-04,-1.6320000000000001
2014-03-05,11.538499999999999
2014-03-06,-2.0284
2014-03-07,2.9676
2014-03-10,-0.2011
2014-03-11,-4.8355
2014-03-12,-0.494
2014-03-13,4.8227
2014-03-14,-1.8944999999999999
2014-03-17,-2.6897
2014-03-18,1.5592000000000001
2014-03-19,1.0468
2014-03-20,1.5192999999999999
2014-03-21,-0.6803
2014-03-24,-6.7808
2014-03-25,-0.4409
2014-03-26,-5.4613
2014-03-27,-1.4052
2014-03-28,-2.1378
2014-03-31,3.1553
2014-04-01,1.1764999999999999
2014-04-02,2.093
2014-04-03,-0.5315
2014-04-04,-1.0687
2014-04-07,-1.5432000000000001
2014-04-08,-0.7053
2014-04-09,0.0
2014-04-10,-5.9195
2014-04-11,-0.3356
2014-04-14,1.431
2014-04-15,-0.4149
2014-04-16,2.9167
2014-04-17,-2.4291
2014-04-21,-2.0747
2014-04-22,2.2034
2014-04-23,-4.5605
2014-04-24,-0.4344
2014-04-25,-10.733
2014-04-28,-5.3763
2014-04-29,2.0661
2014-04-30,-0.2024
2014-05-01,-1.5213
2014-05-02,0.103
2014-05-05,2.7778
2014-05-06,-1.7017
2014-05-07,-2.9532
2014-05-08,-1.3641
2014-05-09,-0.2128
2014-05-12,-0.533
2014-05-13,2.4652
2014-05-14,2.0921
2014-05-15,0.7172
2014-05-16,-1.5259
2014-05-19,0.5165
2014-05-20,-1.4388
2014-05-21,-2.9196999999999997
2014-05-22,1.1815
2014-05-23,4.7771
2014-05-27,6.2817
2014-05-28,4.8618
2014-05-29,6.1818
2014-05-30,1.4555
2014-06-02,-1.6878
2014-06-03,-3.4335
2014-06-04,-3.7333
2014-06-05,3.2318
2014-06-06,2.3256
2014-06-09,6.5559
2014-06-10,0.0
2014-06-11,1.3946
2014-06-12,-0.3236
2014-06-13,-0.487
2014-06-16,-0.3263
2014-06-17,1.2275
2014-06-18,1.9402
2014-06-19,4.996
2014-06-20,-3.4743
2014-06-23,2.2692
2014-06-24,-1.1477
2014-06-25,0.3096
2014-06-26,0.8488
2014-06-27,3.8256
2014-06-30,5.6006
2014-07-01,0.4885
