ticker,BRBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,-2.439
2000-01-21,-12.5
2000-04-18,5.7143
2000-05-02,0.0
2000-06-02,-8.1081
2000-06-07,-1.4706000000000001
2000-07-11,1.4925
2000-11-22,18.0147
2001-02-07,-5.296
2001-02-08,3.9474
2001-02-22,6.3291
2001-05-01,0.0
2001-09-05,-9.5238
2001-09-17,7.8947
2001-11-26,0.0
2001-12-04,-4.878
2002-01-31,2.5641
2002-04-03,12.5
2002-05-09,-2.2222
2002-05-31,-26.7045
2002-06-14,36.4341
2003-04-02,2.2727
2003-04-15,6.6667
2003-05-19,0.0
2003-07-24,0.0
2003-11-04,0.0
2004-02-23,1.0417
2004-02-24,0.0
2004-03-26,2.0619
2004-04-16,0.0
2004-07-28,3.5354
2004-08-30,0.0
2004-09-20,-0.4878
2004-10-07,0.0
2004-11-22,-11.7647
2004-12-03,8.8889
2005-01-25,2.0408
2005-05-12,1.0
2005-05-16,0.0
2005-05-19,0.0
2005-05-27,0.0
2005-06-15,0.495
2005-06-20,4.4335
2005-06-27,-3.7736
2005-07-21,0.0
2005-07-22,3.9215999999999998
2005-08-15,-1.8868
2005-08-18,-0.9615
2005-09-13,-0.9709
2005-10-07,0.0
2005-10-27,7.8431
2005-11-10,0.9091
2005-11-21,-0.9009
2005-12-20,0.0
2006-01-04,-1.8182
2006-01-12,-5.5556
2006-01-19,3.9215999999999998
2006-01-31,3.7736
2006-02-03,-3.6364
2006-02-06,3.7736
2006-02-28,-3.6364
2006-03-01,1.8868
2006-03-15,-1.8519
2006-03-21,0.9434
2006-03-27,-5.6075
2006-03-29,0.0
2006-04-10,1.4851
2006-05-09,2.439
2006-06-23,-1.9048
2006-06-28,4.8544
2006-06-30,0.0
2006-07-07,0.0
2006-08-11,-2.7778
2006-08-25,-1.9048
2006-08-28,-0.9709
2006-08-31,-0.6863
2006-09-08,4.6397
2006-09-15,0.0
2006-09-26,-3.1132
2007-01-12,-1.6553
2007-01-26,-8.9109
2007-01-31,5.9783
2007-02-01,2.5641
2007-03-15,-2.0
2007-03-23,-2.0408
2007-07-10,2.0833
2007-08-10,0.0
2007-08-13,1.0204
2007-08-15,-1.0101
2007-08-16,-4.0816
2007-08-29,4.2553
2007-11-13,1.0204
2008-01-29,-5.0505
2008-01-30,-6.383
2008-02-04,9.0909
2008-02-27,2.0833
2008-03-17,-8.1633
2008-05-05,11.1111
2008-06-18,10.0
2008-07-30,-0.9091
2008-08-12,-14.6789
