ticker,MPLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-07,0.3086
2020-04-08,0.5128
2020-04-14,0.102
2020-04-15,-0.3058
2020-04-16,-0.2045
2020-04-17,0.1025
2020-04-20,0.3071
2020-04-22,0.5102
2020-04-23,-0.3046
2020-04-24,0.2037
2020-04-27,1.1179000000000001
2020-04-28,-0.1005
2020-04-29,0.0996
2020-04-30,0.0
2020-05-01,-0.602
2020-05-04,0.0
2020-05-06,-0.3033
2020-05-08,0.6085
2020-05-11,0.504
2020-05-12,2.3069
2020-05-13,-1.7647
2020-05-14,0.6986
2020-05-15,-0.4955
2020-05-18,0.2988
2020-05-19,0.1986
2020-05-20,0.0991
2020-05-21,0.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,0.396
2020-05-28,0.5917
2020-05-29,0.4902
2020-06-01,-0.1951
2020-06-02,-0.2933
2020-06-03,-0.098
2020-06-04,0.0
2020-06-05,0.5888
2020-06-08,0.0976
2020-06-09,0.2924
2020-06-10,0.2915
2020-06-11,-1.1628
2020-06-12,-0.9804
2020-06-15,-0.099
2020-06-16,0.9911
2020-06-17,0.6869
2020-06-18,-0.0975
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,1.8273000000000001
2020-06-24,-0.8364
2020-06-25,0.2899
2020-06-26,-1.0597
2020-06-29,1.2658
2020-06-30,3.75
2020-07-01,0.1854
2020-07-02,1.1101
2020-07-06,-1.6468
2020-07-07,-0.7442
2020-07-08,-0.3749
2020-07-09,0.1881
2020-07-10,1.5023
2020-07-13,3.7003
2020-07-14,-0.6244
2020-07-15,1.8851
2020-07-16,3.9648
2020-07-17,1.4407
2020-07-20,-2.5063
2020-07-21,-2.3136
2020-07-22,-2.8272
2020-07-23,-0.882
2020-07-24,0.0
2020-07-27,2.8233
2020-07-28,-3.1001
2020-07-29,0.1828
2020-07-30,-3.2847
2020-07-31,-2.2641999999999998
