ticker,AGIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-18,531150.0
2012-08-14,0.0
2012-08-20,-5.8824
2012-09-28,0.0
2012-10-26,6.25
2012-12-04,0.0
2012-12-05,0.0
2012-12-06,0.0
2012-12-27,-5.8824
2012-12-28,0.0
2013-01-03,-50.0
2013-01-07,0.0
2013-01-15,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-24,10.0
2013-01-29,-2.2727
2013-01-30,-4.6512
2013-01-31,4.878
2013-02-01,6.9767
2013-02-04,4.3478
2013-02-05,14.5833
2013-02-06,21.8182
2013-02-07,19.403
2013-02-08,0.0
2013-02-11,0.0
2013-02-12,-6.25
2013-02-15,6.6667
2013-02-19,3.75
2013-02-20,1.2048
2013-02-22,-1.1905000000000001
2013-02-25,-9.6386
2013-02-26,-3.3333
2013-02-27,3.4483
2013-02-28,10.6667
2013-03-01,0.0
2013-03-05,0.0
2013-03-07,3.6145
2013-03-08,-4.6512
2013-03-11,8.5366
2013-03-12,16.8539
2013-03-13,3.8462
2013-03-14,12.037
2013-03-15,-7.438
2013-03-18,8.9286
2013-03-19,-9.8361
2013-03-20,-18.2727
2013-03-21,-9.2325
2013-03-22,-12.3775
2013-03-25,10.4895
2013-03-26,-2.5316
2013-03-27,-7.7922
2013-03-28,-1.5493000000000001
2013-04-01,-11.3019
2013-04-02,-12.9032
2013-04-03,-5.5556
2013-04-04,3.9215999999999998
2013-04-05,15.0943
2013-04-08,17.0492
2013-04-09,-8.9636
2013-04-10,0.7692
2013-04-11,-1.5267
2013-04-12,-5.4264
2013-04-15,-6.7213
2013-04-16,-3.3392
2013-04-17,7.2727
2013-04-18,-3.3898
2013-04-19,-0.3509
2013-04-22,7.3944
2013-04-23,14.7541
2013-04-24,7.1429
2013-04-25,10.2833
2013-04-26,-4.4884
2013-04-29,-6.8354
2013-04-30,-13.0435
2013-05-01,-7.3438
2013-05-02,-9.0219
2013-05-03,-0.4634
2013-05-06,26.4432
2013-05-07,0.8837
2013-05-08,-5.1095
2013-05-09,-4.6154
2013-05-10,-2.5806
2013-05-13,-3.8079
2013-05-14,-3.6145
2013-05-15,1.7856999999999998
2013-05-16,-3.4539
2013-05-17,3.5775
2013-05-20,3.5088
2013-05-21,5.0847
2013-05-22,3.2258
2013-05-23,-3.125
2013-05-24,-5.6452
2013-05-28,-4.2735
2013-05-29,-0.8929
2013-05-30,8.1081
2013-05-31,-1.6667
2013-06-03,-1.6949
2013-06-04,-3.4483
