ticker,GSIH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-26,0.0
2004-11-17,100.0
2004-11-18,0.0
2004-11-22,-50.0
2004-11-23,80.0
2004-11-26,8.8889
2004-12-01,-2.0408
2004-12-03,4.1667
2004-12-09,-20.0
2004-12-13,-5.0
2004-12-28,5.2632
2004-12-30,7.5
2005-01-04,4.6512
2005-01-11,-24.4444
2005-01-12,23.5294
2005-01-24,-4.7619
2005-01-25,-25.0
2005-02-08,33.3333
2005-02-11,-25.0
2005-02-15,0.0
2005-02-16,0.0
2005-03-07,0.0
2005-03-08,-32.6667
2005-03-09,-0.9901
2005-03-11,1.0
2005-03-14,-0.9901
2005-03-24,0.0
2005-03-28,-2.0
2005-03-29,2.0408
2005-03-30,1.0
2005-03-31,-0.9901
2005-04-04,0.0
2005-04-08,0.0
2005-04-11,0.0
2005-04-12,2.0
2005-04-13,76.4706
2005-04-14,2.7778
2005-04-15,-8.6486
2005-04-18,-2.3669000000000002
2005-04-19,0.0
2005-04-20,-2.4242
2005-04-21,-0.6211
2005-04-22,0.0
2005-04-25,-1.875
2005-04-26,-1.9108
2005-04-27,-1.9481000000000002
2005-04-28,-0.6623
2005-04-29,-3.3333
2005-05-02,4.1379
2005-05-03,1.9868000000000001
2005-05-04,0.6494
2005-05-05,0.0
2005-05-06,-9.6774
2005-05-09,10.7143
2005-05-10,5.8065
2005-05-11,-14.6341
2005-05-12,10.7143
2005-05-13,0.0
2005-05-16,4.5161
2005-05-17,0.6173
2005-05-18,-0.6135
2005-05-19,-4.321
2005-05-20,1.9355
2005-05-23,-5.0633
2005-05-24,3.3333
2005-05-25,-6.4516
2005-05-26,3.4483
2005-05-27,-6.6667
2005-05-31,0.0
2005-06-01,-0.7143
2005-06-02,-2.8777
2005-06-03,11.1111
2005-06-06,-10.0
2005-06-07,3.7037
2005-06-08,-3.5714
2005-06-09,11.1111
2005-06-10,-8.6667
2005-06-13,-8.7591
2005-06-14,-4.0
2005-06-15,0.0
2005-06-16,33.3333
2005-06-17,-11.25
2005-06-20,-3.5211
2005-06-21,9.4891
2005-06-22,0.0
2005-06-23,-3.3333
2005-06-24,-6.8966
2005-06-27,-3.7037
2005-06-28,11.538499999999999
2005-06-29,-6.8966
2005-06-30,-3.7037
2005-07-01,2.3077
2005-07-05,-3.7594
2005-07-06,1.5625
2005-07-07,3.8462
2005-07-08,3.7037
2005-07-11,-7.1429
2005-07-12,6.9231
2005-07-13,7.9137
2005-07-14,0.0
2005-07-15,-3.3333
