ticker,RGGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-13,1614.2857
2006-09-14,0.0
2006-09-29,0.0
2007-02-01,-12.5
2007-02-13,14.2857
2007-02-14,0.0
2007-02-21,-25.0
2007-02-23,0.6667
2007-02-26,-0.6623
2007-02-28,0.0
2007-03-01,0.0
2007-03-02,13.3333
2007-03-06,2.3529
2007-03-08,-2.2989
2007-03-09,5.8824
2007-03-12,0.0
2007-03-13,-3.3333
2007-03-19,13.7931
2007-03-20,2.0202
2007-03-21,0.9901
2007-03-22,0.0
2007-03-23,0.9804
2007-03-26,-0.9709
2007-03-27,0.9804
2007-03-29,1.9417
2007-04-02,-4.7619
2007-04-03,-3.0
2007-04-04,-1.0309
2007-04-05,2.0833
2007-04-09,0.0
2007-04-11,7.1429
2007-04-12,7.619
2007-04-13,-15.0442
2007-04-16,10.4167
2007-04-17,2.8302
2007-04-19,0.9174
2007-04-20,0.0
2007-04-23,-9.0909
2007-04-25,2.0
2007-04-26,8.8235
2007-04-27,-2.7027
2007-04-30,-6.4815
2007-05-01,4.9505
2007-05-02,3.7736
2007-05-03,-8.1818
2007-05-04,-2.9703
2007-05-07,6.1224
2007-05-08,0.0
2007-05-10,-0.9615
2007-05-11,6.7961
2007-05-14,0.0
2007-05-15,-0.9091
2007-05-16,-7.3394
2007-05-17,0.0
2007-05-18,3.9604
2007-05-21,1.9048
2007-05-22,-0.9346
2007-05-23,1.8868
2007-05-24,7.4074
2007-05-25,6.8966
2007-05-29,0.0
2007-05-30,-8.871
2007-05-31,7.0796
2007-06-01,4.1322
2007-06-04,-2.3810000000000002
2007-06-05,-0.813
2007-06-06,1.6393
2007-06-07,0.8065
2007-06-08,0.0
2007-06-11,0.8
2007-06-12,0.7937
2007-06-13,-0.7874
2007-06-14,-7.9365
2007-06-15,0.8621
2007-06-18,1.7094
2007-06-19,0.8403
2007-06-20,0.0
2007-06-21,4.1667
2007-06-22,-7.2
2007-06-25,2.5862
2007-06-26,0.8403
2007-06-27,-5.8333
2007-06-28,5.3097
2007-07-02,-15.9664
2007-07-03,4.0
2007-07-05,-8.6538
2007-07-06,10.526299999999999
2007-07-09,1.9048
2007-07-10,0.0
2007-07-11,0.0
2007-07-12,-10.2804
2007-07-13,12.5
2007-07-16,-9.2593
2007-07-17,-12.2449
2007-07-18,4.6512
2007-07-19,16.6667
2007-07-20,-2.8571
2007-07-23,-5.8824
2007-07-24,5.2083
2007-07-25,-2.9703
2007-07-26,17.3469
2007-07-27,8.6957
