ticker,INVU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-14,50.0
2000-01-18,0.0
2000-01-19,50.0
2000-01-25,-44.4444
2000-02-01,80.0
2000-02-03,0.0
2000-02-08,0.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-08,0.0
2000-03-10,0.0
2000-03-17,0.0
2000-03-30,0.0
2000-04-17,-33.3333
2000-04-18,0.0
2000-05-03,0.0
2000-05-25,33.3333
2000-06-20,0.0
2000-09-19,-37.5
2000-09-27,0.0
2000-10-06,20.0
2000-10-12,0.0
2000-10-17,-50.0
2000-11-06,33.3333
2000-11-14,-25.0
2000-11-16,100.0
2000-11-29,-50.0
2000-12-01,100.0
2000-12-29,0.0
2001-01-02,-16.6667
2001-01-05,-40.0
2001-01-22,33.3333
2001-04-05,0.0
2001-04-06,0.0
2001-04-23,-12.0
2001-08-22,-27.2727
2001-10-03,25.0
2001-10-09,20.0
2001-10-10,66.6667
2001-10-18,-15.0
2001-12-28,-29.4118
2001-12-31,33.3333
2002-01-02,-31.25
2002-01-03,-9.0909
2002-04-02,10.0
2002-04-09,0.0
2002-07-12,-9.0909
2002-07-26,-10.0
2002-08-01,0.0
2002-08-05,0.0
2002-10-10,-22.2222
2002-10-11,-14.2857
2002-12-03,-16.6667
2003-01-30,-80.0
2003-05-14,0.0
2003-07-31,200.0
2003-09-02,-66.6667
2003-11-13,400.0
2003-11-17,140.0
2003-12-08,-41.6667
2004-01-08,114.2857
2004-01-14,0.0
2004-01-22,26.6667
2004-01-23,0.0
2004-02-13,168.4211
2004-02-17,-74.5098
2004-02-18,46.1538
2004-02-19,-26.3158
2004-02-24,7.1429
2004-03-02,-33.3333
2004-03-08,90.0
2004-03-10,0.0
2004-03-17,5.2632
2004-03-18,0.0
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,0.0
2004-03-26,-25.0
2004-04-01,-20.0
2004-04-07,45.8333
2004-05-13,-14.2857
2004-05-18,20.0
2004-05-26,5.5556
2004-06-02,0.0
2004-06-09,0.0
2004-06-15,-21.0526
2004-06-16,-33.3333
2004-07-01,100.0
2004-09-07,-45.0
2004-09-20,-9.0909
2004-10-27,0.0
2004-12-09,20.0
2005-01-12,50.0
2005-01-13,0.0
2005-01-28,-55.5556
2005-02-08,-31.25
2005-03-03,-9.0909
2005-03-09,10.0
2005-03-14,0.0
2005-03-22,-9.0909
2005-03-31,10.0
2005-04-13,-22.7273
2005-04-20,-17.647100000000002
2005-04-25,-42.8571
2005-05-02,-12.5
