ticker,HSFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-13,1900.0
2005-05-16,-29.0
2005-05-17,36.6197
2005-05-18,26.8041
2005-05-19,17.8862
2005-05-20,-4.8276
2005-05-23,7.971
2005-05-24,-0.3356
2005-05-25,5.0505
2005-05-26,8.9744
2005-05-27,-12.3529
2005-05-31,-26.1745
2005-06-01,-9.0909
2005-06-02,-10.0
2005-06-03,-16.6667
2005-06-06,0.0
2005-06-07,20.0
2005-06-08,0.0
2005-06-09,-17.7778
2005-06-10,17.5676
2005-06-13,17.2414
2005-06-14,-1.9607999999999999
2005-06-15,-7.0
2005-06-16,17.2043
2005-06-17,0.9174
2005-06-20,-6.3636
2005-06-21,-0.9709
2005-06-22,-6.8627
2005-06-23,10.526299999999999
2005-06-24,11.4286
2005-06-27,19.6581
2005-06-28,5.0
2005-06-29,-2.7211
2005-06-30,6.993
2005-07-01,2.6144
2005-07-05,15.9236
2005-07-06,22.5275
2005-07-07,25.5605
2005-07-08,-14.2857
2005-07-11,10.4167
2005-07-12,2.6414999999999997
2005-07-13,4.7794
2005-07-14,-5.2632
2005-07-15,5.9259
2005-07-18,-1.3986
2005-07-19,1.0638
2005-07-20,1.7544
2005-07-21,0.6897
2005-07-22,6.1644
2005-07-25,23.5444
2005-07-26,7.0531
2005-07-27,7.3171
2005-07-28,28.4091
2005-07-29,-21.2389
2005-08-01,-31.4607
2005-08-02,-14.4262
2005-08-03,43.6782
2005-08-04,-8.0
2005-08-05,0.0
2005-08-08,0.0
2005-08-09,-1.4493
2005-08-10,-10.2941
2005-08-11,1.6393
2005-08-12,1.6129
2005-08-15,-3.1746
2005-08-16,6.5574
2005-08-17,-5.8462
2005-08-18,9.4771
2005-08-19,-4.4776
2005-08-22,3.125
2005-08-23,-1.5152
2005-08-24,-4.6154
2005-08-25,-8.0645
2005-08-26,12.2807
2005-08-29,-3.125
2005-08-30,-3.2258
2005-08-31,-1.6667
2005-09-01,-3.3898
2005-09-02,5.2632
2005-09-06,-6.6667
2005-09-07,7.1429
2005-09-08,-5.0
2005-09-09,-1.7544
2005-09-12,0.0
2005-09-13,0.0
2005-09-14,0.0
2005-09-15,2.1429
2005-09-16,-2.0979
2005-09-19,1.7856999999999998
2005-09-20,-3.5088
2005-09-21,-5.4545
2005-09-22,3.8462
2005-09-23,0.0
2005-09-26,1.8519
2005-09-27,0.0
2005-09-28,-5.4545
2005-09-29,0.0
2005-09-30,0.0
2005-10-03,0.3846
2005-10-04,-0.3831
