ticker,MDLZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-06-13,0.8065
2001-06-14,-3.52
2001-06-15,1.4925
2001-06-18,-0.915
2001-06-19,0.2639
2001-06-20,-0.3289
2001-06-21,-0.9901
2001-06-22,0.0
2001-06-25,0.5
2001-06-26,-0.3648
2001-06-27,-0.3329
2001-06-28,1.5697999999999999
2001-06-29,1.9402
2001-07-02,-1.7097
2001-07-03,0.2954
2001-07-05,1.2107
2001-07-06,-0.9053
2001-07-09,-0.8809
2001-07-10,-0.0987
2001-07-11,-0.1647
2001-07-12,1.9802
2001-07-13,-0.5502
2001-07-16,-0.0651
2001-07-17,2.4096
2001-07-18,0.1272
2001-07-19,-0.5399
2001-07-20,-0.3831
2001-07-23,-0.641
2001-07-24,0.2258
2001-07-25,-1.1909
2001-07-26,1.3681
2001-07-27,-0.6748
2001-07-30,-1.0029
2001-07-31,1.1438
2001-08-01,-0.5493
2001-08-02,0.5523
2001-08-03,-0.8078
2001-08-06,-1.1401
2001-08-07,0.4942
2001-08-08,-1.6066
2001-08-09,1.1996
2001-08-10,1.4159
2001-08-13,0.974
2001-08-14,0.0
2001-08-15,-0.3859
2001-08-16,0.5487
2001-08-17,0.6421
2001-08-20,1.1802
2001-08-21,1.1349
2001-08-22,2.5561
2001-08-23,-0.0304
2001-08-24,-1.6418
2001-08-27,-0.1546
2001-08-28,-1.2384
2001-08-29,1.2226
2001-08-30,1.1149
2001-08-31,-1.2251
2001-09-04,2.4806
2001-09-05,0.9077
2001-09-06,1.9489999999999998
2001-09-07,0.0
2001-09-10,-0.7353
2001-09-17,-2.1416
2001-09-18,0.0
2001-09-19,-1.5198
2001-09-20,0.4012
2001-09-21,-1.6293
2001-09-24,4.6875
2001-09-25,-0.597
2001-09-26,0.0
2001-09-27,0.6306
2001-09-28,2.5664
2001-10-01,-1.3093
2001-10-02,0.6781
2001-10-03,1.6105
2001-10-04,-2.0173
2001-10-05,-0.7941
2001-10-08,0.504
2001-10-09,0.1475
2001-10-10,0.0589
2001-10-11,-2.8555
2001-10-12,1.2121
2001-10-15,-0.1497
2001-10-16,0.7496
2001-10-17,1.1905000000000001
2001-10-18,0.0294
2001-10-19,1.4996
2001-10-22,2.1437
2001-10-23,0.3687
2001-10-24,-0.8194
2001-10-25,-0.5698
2001-10-26,-1.7191999999999998
2001-10-29,-2.2449
2001-10-30,0.507
2001-10-31,0.1484
2001-11-01,0.0
2001-11-02,2.2222
2001-11-05,-0.8696
2001-11-06,1.4035
