ticker,GRPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-04,30.55
2011-11-07,-0.5362
2011-11-08,-4.1201
2011-11-09,-3.5341
2011-11-10,1.6236000000000002
2011-11-11,-0.6555
2011-11-14,-0.7423
2011-11-15,0.0
2011-11-16,-0.1662
2011-11-17,3.0795
2011-11-18,5.7327
2011-11-21,-9.9656
2011-11-22,-14.8855
2011-11-23,-15.4958
2011-11-25,-1.2382
2011-11-28,-9.0149
2011-11-29,5.0525
2011-11-30,9.3067
2011-12-01,8.2857
2011-12-02,0.0
2011-12-05,0.4749
2011-12-06,1.0504
2011-12-07,9.9272
2011-12-08,5.2955
2011-12-09,5.4333
2011-12-12,-5.2385
2011-12-13,4.809
2011-12-14,-3.3019
2011-12-15,2.3503
2011-12-16,-0.1733
2011-12-19,-4.5139
2011-12-20,3.4091
2011-12-21,0.9231
2011-12-22,-3.7456
2011-12-23,3.3484
2011-12-27,0.9194
2011-12-28,-1.8655
2011-12-29,-5.4818999999999996
2011-12-30,-3.508
2012-01-03,-6.5923
2012-01-04,-2.4909
2012-01-05,-4.843
2012-01-06,-0.3915
2012-01-09,2.7513
2012-01-10,4.6448
2012-01-11,-0.7833
2012-01-12,1.3684
2012-01-13,-0.5711
2012-01-17,1.8799000000000001
2012-01-18,5.4331
2012-01-19,3.0141
2012-01-20,-1.6045
2012-01-23,-0.4317
2012-01-24,-0.7707
2012-01-25,-2.5243
2012-01-26,-2.739
2012-01-27,2.6114
2012-01-30,-2.0459
2012-01-31,3.8716
2012-02-01,5.3948
2012-02-02,7.3988
2012-02-03,5.8492
2012-02-06,-3.7659000000000002
2012-02-07,2.8924
2012-02-08,1.6122
2012-02-09,-13.8731
2012-02-10,-0.6613
2012-02-13,-7.5131
2012-02-14,-0.5141
2012-02-15,0.8269
2012-02-16,4.0492
2012-02-17,-0.197
2012-02-21,-2.0731
2012-02-22,-2.1673
2012-02-23,-0.103
2012-02-24,0.5673
2012-02-27,-0.0513
2012-02-28,1.9497
2012-02-29,-0.7801
2012-03-01,-1.0398
2012-03-02,-1.5889
2012-03-05,-5.5729
2012-03-06,1.1031
2012-03-07,-5.5100999999999996
2012-03-08,-1.963
2012-03-09,0.4711
2012-03-12,-1.8757000000000001
2012-03-13,1.8817
2012-03-14,-1.0261
2012-03-15,5.6872
2012-03-16,1.009
2012-03-19,-1.1099
2012-03-20,-0.5612
2012-03-21,-2.3702
2012-03-22,-2.3699
2012-03-23,0.0
2012-03-26,2.9011
