ticker,SCM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-08,0.5333
2012-11-09,0.5968
2012-11-12,0.4614
2012-11-13,-0.1312
2012-11-14,-0.7884
2012-11-15,-0.2649
2012-11-16,0.2656
2012-11-19,1.9868000000000001
2012-11-20,-1.4285999999999999
2012-11-21,-0.1318
2012-11-23,0.5277
2012-11-26,-0.5906
2012-11-27,0.6601
2012-11-28,-0.3279
2012-11-29,0.3947
2012-11-30,0.3932
2012-12-03,0.2611
2012-12-04,-0.3255
2012-12-05,0.0
2012-12-06,-1.1757
2012-12-07,-0.3305
2012-12-10,-0.5305
2012-12-11,0.5333
2012-12-12,1.1936
2012-12-13,0.1311
2012-12-14,-1.5051999999999999
2012-12-17,0.8638
2012-12-18,2.0422
2012-12-19,1.2343
2012-12-20,-0.3226
2012-12-21,5.178
2012-12-24,-1.6
2012-12-26,-4.3777
2012-12-27,0.3924
2012-12-28,0.7818
2012-12-31,5.8824
2013-01-02,2.1368
2013-01-03,-4.6623
2013-01-04,-0.0627
2013-01-07,-0.4391
2013-01-08,-3.5286999999999997
2013-01-09,-3.4618
2013-01-10,1.5562
2013-01-11,-1.6656
2013-01-14,-1.6938
2013-01-15,0.5513
2013-01-16,0.891
2013-01-17,-0.2717
2013-01-18,0.4087
2013-01-22,-0.6106
2013-01-23,0.6826
2013-01-24,-0.339
2013-01-25,1.1565
2013-01-28,0.3362
2013-01-29,-0.2681
2013-01-30,-0.6048
2013-01-31,3.0426
2013-02-01,-1.9029
2013-02-04,-0.1338
2013-02-05,0.134
2013-02-06,-0.3344
2013-02-07,-1.0067
2013-02-08,0.678
2013-02-11,0.202
2013-02-12,0.0
2013-02-13,-0.4704
2013-02-14,-0.3376
2013-02-15,1.4905
2013-02-19,0.6676
2013-02-20,-1.5252
2013-02-21,-0.5387
2013-02-22,1.2187000000000001
2013-02-25,-0.6689
2013-02-26,0.202
2013-02-27,0.1344
2013-02-28,2.349
2013-03-01,-0.7869
2013-03-04,1.388
2013-03-05,-1.4342
2013-03-06,-0.463
2013-03-07,1.5282
2013-03-08,-0.3272
2013-03-11,0.4596
2013-03-12,-0.915
2013-03-13,-0.3958
2013-03-14,2.1854
2013-03-15,-0.9073
2013-03-18,0.2616
2013-03-19,-0.848
2013-03-20,-0.0673
2013-03-21,-0.1347
2013-03-22,0.944
2013-03-25,0.8684
2013-03-26,-0.7947
2013-03-27,-1.9359
2013-03-28,0.885
2013-04-01,0.6748
2013-04-02,0.4692
