ticker,BPMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-30,4.8333
2015-05-01,-1.8018
2015-05-04,12.3044
2015-05-05,0.0481
2015-05-06,2.6417
2015-05-07,5.2878
2015-05-08,4.8889
2015-05-11,5.7415
2015-05-12,0.3406
2015-05-13,4.1933
2015-05-14,11.2304
2015-05-15,-1.5851
2015-05-18,0.6303
2015-05-19,0.9047
2015-05-20,0.2414
2015-05-21,0.4128
2015-05-22,2.6379
2015-05-26,-4.4059
2015-05-27,-4.5391
2015-05-28,4.4257
2015-05-29,0.4904
2015-06-01,7.2499
2015-06-02,-1.17
2015-06-03,1.4798
2015-06-04,-0.6481
2015-06-05,0.6197
2015-06-08,2.1394
2015-06-09,1.4916
2015-06-10,-1.5322
2015-06-11,5.3033
2015-06-12,2.8951000000000002
2015-06-15,-1.3775
2015-06-16,1.159
2015-06-17,2.7321
2015-06-18,2.7166
2015-06-19,-7.5724
2015-06-22,-0.2108
2015-06-23,-5.735
2015-06-24,-10.2786
2015-06-25,0.464
2015-06-26,-1.0302
2015-06-29,-5.9584
2015-06-30,1.1069
2015-07-01,3.4353
2015-07-02,-1.3869
2015-07-06,-2.6277
2015-07-07,-0.7222
2015-07-08,-1.608
2015-07-09,0.6226
2015-07-10,8.3527
2015-07-13,3.4975
2015-07-14,7.3793
2015-07-15,-0.0321
2015-07-16,3.5336
2015-07-17,2.0788
2015-07-20,-3.617
2015-07-21,-2.8698
2015-07-22,-2.2078
2015-07-23,-3.2869
2015-07-24,-5.5956
2015-07-27,-1.4545
2015-07-28,5.1292
2015-07-29,-3.4749
2015-07-30,-3.4909
2015-07-31,1.8086
2015-08-03,2.2946
2015-08-04,2.8582
2015-08-05,-0.598
2015-08-06,-2.3708
2015-08-07,-4.0232
2015-08-10,1.8881999999999999
2015-08-11,0.6301
2015-08-12,3.8674
2015-08-13,-1.6312
2015-08-14,-4.2898
2015-08-17,12.0527
2015-08-18,-3.7983000000000002
2015-08-19,-5.5905000000000005
2015-08-20,-4.4782
2015-08-21,-0.2712
2015-08-24,1.3986
2015-08-25,1.954
2015-08-26,-2.5554
2015-08-27,3.6250999999999998
2015-08-28,-0.1116
2015-08-31,1.9374
2015-09-01,0.6213
2015-09-02,3.1239
2015-09-03,-1.3385
2015-09-04,0.8211
2015-09-08,5.7365
2015-09-09,-2.2438
2015-09-10,3.0147
2015-09-11,-1.8622999999999998
2015-09-14,5.0152
2015-09-15,-1.1294
2015-09-16,-4.8956
2015-09-17,1.6129
