ticker,NCRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,220.0
2000-01-26,-68.75
2000-02-16,500.0
2000-02-24,-83.3333
2000-03-29,284.0
2000-06-01,-58.3333
2000-07-06,-80.0
2000-12-04,-90.0
2005-04-28,0.0
2007-01-31,-87.5
2007-03-29,0.0
2016-09-09,39900.0
2016-09-12,-98.0
2017-01-03,12.5
2017-06-15,12344.4444
2017-06-16,18.2143
2017-06-22,-99.0937
2017-07-25,4566.6667
2017-07-27,-28.5714
2017-10-23,300.0
2017-10-24,0.0
2017-11-06,-75.0
2017-11-08,-58.0
2017-11-30,42.8571
2018-01-16,566.6667
2018-01-19,-85.0
2018-01-30,33.6667
2018-01-31,398.7531
2018-03-14,50.0
2018-03-22,-0.6667
2018-04-26,0.0
2018-05-02,-99.6309
2018-05-21,4445.4545
2018-06-29,494.0
2018-07-05,1.0101
2018-07-06,50.0
2018-07-10,66.6667
2018-08-01,-96.8
2018-08-07,2025.0
2018-10-04,-98.0392
2018-10-08,3360.0
2018-10-11,-95.6647
2018-10-23,2013.3333
2019-01-08,-15.7729
2019-01-23,-94.1948
2019-04-04,1551.6129
2019-05-07,-91.2109
2019-06-11,917.7778
2019-07-01,0.0
2019-07-05,-84.2795
2019-08-01,452.7778
2019-08-05,0.0
2019-08-28,-86.9347
2019-10-25,657.6923
2020-01-06,-85.533
2020-01-22,415.7895
2020-02-18,0.0
2020-03-02,-76.1905
2020-03-04,14.2857
2020-03-05,25.0
2020-06-02,520.8
2020-06-05,-51.7075
2020-06-08,-65.9773
2020-07-13,247.0588
2020-07-20,-71.7514
2020-07-27,155.4
