ticker,SB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-29,-0.5263
2008-05-30,0.0
2008-06-02,0.5291
2008-06-03,-0.7895
2008-06-04,0.1061
2008-06-05,0.159
2008-06-06,-1.0582
2008-06-09,-0.2674
2008-06-10,-0.0536
2008-06-11,-0.2146
2008-06-12,-3.2258
2008-06-13,-0.1667
2008-06-16,1.7250999999999999
2008-06-17,3.5558
2008-06-18,-0.7924
2008-06-19,0.3727
2008-06-20,-1.5385
2008-06-23,0.8944
2008-06-24,-2.1147
2008-06-25,2.6187
2008-06-26,-0.6061
2008-06-27,-1.1553
2008-06-30,2.1104
2008-07-01,-1.6958
2008-07-02,-1.8868
2008-07-03,-2.0879
2008-07-07,1.8519
2008-07-08,1.2121
2008-07-09,1.1976
2008-07-10,0.8069
2008-07-11,-1.9744000000000002
2008-07-14,0.4899
2008-07-15,2.3835
2008-07-16,0.5291
2008-07-17,-1.0526
2008-07-18,-0.266
2008-07-21,1.3333
2008-07-22,-1.4737
2008-07-23,0.5342
2008-07-24,-0.1594
2008-07-25,0.1064
2008-07-28,-1.967
2008-07-29,2.2234
2008-07-30,0.6366
2008-07-31,-0.1054
2008-08-01,-1.1082
2008-08-04,-2.2946
2008-08-05,-1.2015
2008-08-06,1.9341
2008-08-07,-0.9212
2008-08-08,0.1642
2008-08-11,-1.6393
2008-08-12,0.4444
2008-08-13,-0.719
2008-08-14,1.1142
2008-08-15,-2.5895
2008-08-18,2.3756
2008-08-19,1.4365
2008-08-20,3.7369
2008-08-21,0.2116
2008-08-22,-2.0063
2008-08-25,-1.0237
2008-08-26,-0.1633
2008-08-27,3.108
2008-08-28,0.6875
2008-08-29,0.0525
2008-09-02,-0.5774
2008-09-03,-3.6431
2008-09-04,-1.8082
2008-09-05,-1.9531
2008-09-08,-8.4804
2008-09-09,0.2488
2008-09-10,-3.598
2008-09-11,2.7027
2008-09-12,1.1278
2008-09-15,-4.0892
2008-09-16,0.5168
2008-09-17,-2.9563
2008-09-18,-3.3113
2008-09-19,9.589
2008-09-22,-6.375
2008-09-23,-3.5381
2008-09-24,-1.7301
2008-09-25,-3.2394
2008-09-26,-7.2052
2008-09-29,-11.7647
2008-09-30,-3.1111
2008-10-01,4.1284
2008-10-02,-16.740099999999998
2008-10-03,-1.3757
2008-10-06,-23.0687
2008-10-07,1.3947
2008-10-08,0.4127
2008-10-09,-4.1096
2008-10-10,-1.5714000000000001
2008-10-13,4.6444
2008-10-14,-2.9126
2008-10-15,-9.7143
