ticker,AIMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-15,5.8519
2006-12-18,-2.0994
2006-12-19,-1.4296
2006-12-20,-0.2901
2006-12-21,5.8182
2006-12-22,-2.4742
2006-12-26,-1.339
2006-12-27,0.4286
2006-12-28,-1.4224999999999999
2006-12-29,1.3709
2007-01-03,0.7117
2007-01-04,-2.0495
2007-01-05,-0.0722
2007-01-08,0.5776
2007-01-09,0.5025
2007-01-10,-0.7143
2007-01-11,0.7194
2007-01-12,-0.5714
2007-01-16,2.9454000000000002
2007-01-17,1.605
2007-01-18,-1.0302
2007-01-19,0.2082
2007-01-22,-0.554
2007-01-23,-0.0696
2007-01-24,0.3833
2007-01-25,0.3818
2007-01-26,-0.6224
2007-01-29,0.2088
2007-01-30,-0.3472
2007-01-31,0.4752
2007-02-01,1.8157999999999999
2007-02-02,3.8828
2007-02-05,0.8525
2007-02-06,1.3004
2007-02-07,1.9897
2007-02-08,0.8811
2007-02-09,1.6843
2007-02-12,-2.7607
2007-02-13,2.5237
2007-02-14,1.5385
2007-02-15,-0.9091
2007-02-16,0.3058
2007-02-20,1.0976
2007-02-21,-2.2316
2007-02-22,4.0716
2007-02-23,-1.3634
2007-02-26,-2.2837
2007-02-27,-3.1365
2007-02-28,-4.381
2007-03-01,-5.3121
2007-03-02,1.0519
2007-03-05,-0.2776
2007-03-06,-1.5310000000000001
2007-03-07,-1.0601
2007-03-08,0.0
2007-03-09,3.5714
2007-03-12,3.1034
2007-03-13,-4.0134
2007-03-14,-0.9756
2007-03-15,-1.2667
2007-03-16,1.7819
2007-03-19,-1.8207
2007-03-20,0.7133
2007-03-21,-0.3541
2007-03-22,-0.5686
2007-03-23,3.0021
2007-03-26,-1.3879000000000001
2007-03-27,1.3371
2007-03-28,-0.9028
2007-03-29,-0.1402
2007-03-30,-3.7895
2007-04-02,1.6776
2007-04-03,1.2912
2007-04-04,2.3371
2007-04-05,-1.9377
2007-04-09,2.8933999999999997
2007-04-10,-2.1262
2007-04-11,-1.8921000000000001
2007-04-12,0.0
2007-04-13,2.7857
2007-04-16,0.3475
2007-04-17,4.9861
2007-04-18,2.1108
2007-04-19,1.0982
2007-04-20,3.5144
2007-04-23,1.6667
2007-04-24,-1.0322
2007-04-25,-0.0613
2007-04-26,0.4297
2007-04-27,3.3007
2007-04-30,-0.5325
2007-05-01,-2.7365
2007-05-02,1.896
2007-05-03,7.443
2007-05-04,0.5587
2007-05-07,-0.7222
2007-05-08,0.2238
